id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28537,Long haul flights,384.0,446.0,160.0,120.0,positive strong,1015,16.0,Sleep the whole journey!,16:26:16,1,1856
28516,Medical efficiency,558.0,106.0,160.0,120.0,positive,1015,15.0,Great for people who need long periods of rest for recovery,16:24:52,1,1856
28512,Who controls childrens / babies?,614.0,491.0,160.0,120.0,ambivalent,1015,14.0,,,1,1856
28459,Nap whenever I want,134.0,220.0,160.0,120.0,positive weak,1015,11.0,,16:19:42,1,1856
28411,Could it be used for criminal activity?,862.0,336.0,160.0,120.0,neutral,1015,8.0,"Cyber crime?
Could criminals use to break the law?",16:18:10,1,1856
28397,Goes against nature,184.0,404.0,160.0,120.0,ambivalent,1015,7.0,This is not what the body is designed to do. ,16:22:01,1,1856
28359,More productive at work,342.0,41.0,160.0,120.0,positive weak,1015,5.0,,16:14:43,1,1856
28350,What if it fails?,888.0,128.0,160.0,120.0,negative strong,1015,3.0,What if I fell asleep and never woke up?,16:22:25,1,1856
28331,Guaranteed 8 hours sleep per night,93.0,74.0,190.0,142.0,positive,1015,2.0,,16:13:31,1,1856
28312,technological implant,471.0,290.0,181.0,129.281,neutral,1015,1.0, ,,1,1856
