id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29648,"An introduction to a new phenomena, new societal regulations",113.0,412.0,160.0,120.0,positive weak,1099,15.0,,,1,1971
29647,new data could come to light,170.0,185.0,160.0,120.0,positive strong,1099,14.0,,,1,1971
29646,could lead to high productive levels in jobs,356.0,483.0,160.0,120.0,positive strong,1099,13.0,,,1,1971
29645,possible positive mental affects,242.0,278.0,160.0,120.0,positive weak,1099,11.0,,,1,1971
29642,regulating sleep cycle ,512.333,491.0,231.323,173.0,positive strong,1099,10.0,,17:30:55,1,1971
29637,long term affects,553.0,366.0,160.0,120.0,negative strong,1099,9.0,,17:28:42,1,1971
29632,Health issues?,546.0,211.0,160.0,120.0,negative strong,1099,8.0,,,1,1971
29630,Reason for this Implant??,724.0,20.0,160.0,120.0,neutral,1099,3.0,,17:20:56,1,1971
29622,implantation method,507.0,77.0,220.667,165.0,negative strong,1099,2.0,It is important the implantation method is shared. All details ,17:19:23,1,1971
29618,technological implant,343.0,63.0,154.0,110.0,neutral,1099,1.0, ,,1,1971
