id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28093,May be able to be used to track and identify or control dangerous groups,273.0,20.0,160.0,120.0,positive weak,989,18.0,,22:07:22,1,1827
28092,But should these be manipulated...?,745.0,554.0,160.0,120.0,negative weak,989,17.0,,,1,1827
28091,Able to better manipulate human environmental needs,761.0,380.0,160.0,120.0,neutral,989,16.0,,,1,1827
28090,May limit certain advances in society to particular people or classes,742.0,38.0,160.0,120.0,negative weak,989,15.0,,,1,1827
28089,"Implant may be expensive, leading to becoming a high class/status item",777.0,150.0,160.0,120.0,neutral,989,14.0,,,1,1827
28088,"It would be complicated to test, approve and gain interest in this device from the public",100.0,69.0,160.0,120.0,neutral,989,13.0,,,1,1827
28087,Purpose may be abused for misdeeds,536.0,554.0,160.0,120.0,negative,989,12.0,"This may be as innocent as students using it to stay awake for days, or dark as it being used as a manipulative or torturous tool",22:02:13,1,1827
28086,Society may be able to function in unity if all shared a device and everyone had understanding,251.0,550.0,160.0,120.0,positive,989,11.0,,22:03:16,1,1827
28085,The functioning of societies may become reliant on the implant over time,88.0,386.0,160.0,120.0,neutral,989,9.0,,21:59:25,1,1827
28084,Humans may become reliant on the implant,631.0,465.0,160.0,120.0,negative weak,989,8.0,,21:58:14,1,1827
28083,Solution to medical issues such as sleep deprivation - more functioning society,356.0,402.0,160.0,120.0,positive weak,989,7.0,,,1,1827
28082,Benefits military and related careers,459.0,20.0,160.0,120.0,positive weak,989,6.0,Being able to optimise working potential with sleep influence and related,21:53:36,1,1827
28081,"Self-sufficient, no physical danger",690.0,276.0,160.0,120.0,positive weak,989,5.0,"Dissolving, no charging, etc.",21:54:21,1,1827
28080,Societal pressure to use implant,187.0,264.0,120.667,90.0,negative weak,989,4.0,,,1,1827
28079,Permits technological evolution of humankind,562.0,137.0,140.667,105.0,positive weak,989,3.0,Humans able to evolve to function beyond biological restraint,21:54:11,1,1827
28078,Target for dangerous cyber-criminals,318.0,120.0,174.302,130.24,negative strong,989,2.0,"Hacking, etc.",21:53:47,1,1827
28077,technological implant,472.0,290.0,160.0,120.0,neutral,989,1.0, ,,1,1827
