id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28059,28078,28093,Solid-Weak,989,0,none,22:07:26,1827
28058,28091,28092,Solid-Weak,989,0,none,22:06:39,1827
28057,28077,28091,Solid-Weak,989,0,none,22:06:05,1827
28056,28089,28090,Solid-Weak,989,0,none,22:04:53,1827
28055,28077,28089,Solid-Weak,989,0,none,22:04:26,1827
28054,28077,28088,Solid-Weak,989,0,none,22:03:45,1827
28052,28085,28086,Solid-Weak,989,0,none,22:00:51,1827
28051,28080,28085,Solid-Weak,989,0,none,21:59:59,1827
28050,28077,28085,Solid-Weak,989,0,none,21:59:44,1827
28049,28077,28084,Dashed-Weak,989,0,none,21:57:59,1827
28048,28077,28083,Solid,989,0,none,21:56:37,1827
28047,28077,28082,Solid-Weak,989,0,none,21:54:38,1827
28046,28078,28082,Dashed-Weak,989,0,none,21:54:37,1827
28044,28077,28081,Solid-Weak,989,0,none,21:50:33,1827
28043,28077,28080,Dashed-Weak,989,0,none,21:49:51,1827
28042,28077,28079,Solid-Weak,989,0,none,21:49:04,1827
28041,28077,28078,Dashed-Strong,989,0,none,21:48:09,1827
