id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28908,reliance on technology,834.992,308.0,160.0,120.0,negative,1038,18.0,possible increased reliance in terms of both individualsusing it and emplyoers and industry exploiting their productivity,17:02:22,1,1887
28893,possible benefits for helping sleep disorders,61.9727,105.992,160.0,120.0,positive strong,1038,17.0,,,1,1887
28865,cost,333.0,23.0,160.0,120.0,negative strong,1038,15.0,,16:52:58,1,1887
28863,class divide,580.0,20.0,160.0,120.0,negative strong,1038,14.0,,16:53:00,1,1887
28807,hacking worries,1440.99,234.984,160.0,120.0,negative strong,1038,12.0,,16:48:05,1,1887
28804,coercion to use implant,1218.98,221.988,160.0,120.0,negative strong,1038,11.0,,16:48:07,1,1887
28800,exploitable by employers,1359.0,20.0,160.0,120.0,negative strong,1038,10.0,,16:48:09,1,1887
28784,unknown policies,652.984,606.984,160.0,120.0,negative strong,1038,9.0,"we don't know what the data policies of such an implant would be, and i would be skeptical of the stated policies of a company creating such a device",17:02:57,1,1887
28773,data privacy,1237.99,571.988,160.0,120.0,neutral,1038,8.0,,,1,1887
28761,ecologically friendly,14.0,364.984,160.0,120.0,positive weak,1038,7.0,,16:43:45,1,1887
28748,self repairing,61.9922,610.0,160.0,120.0,positive weak,1038,6.0,,,1,1887
28717,biodegradable,22.0,208.984,160.0,120.0,positive strong,1038,3.0,,16:40:06,1,1887
28710,Control over sleep patterns,726.0,141.0,159.312,119.0,ambivalent,1038,2.0,,16:40:35,1,1887
28692,technological implant,591.0,319.0,160.0,120.0,neutral,1038,1.0, ,,1,1887
