id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28665,How is it installed?,434.0,45.0,160.0,120.0,negative weak,1019,18.0,Does it require invasive surgery? This could be dangerous and cause infections. Could also divert away medical attention from accidents and emergencies etc. ,16:36:19,1,1860
28637,Children using them?,807.0,146.0,160.0,120.0,ambivalent,1019,17.0,"Probably safer if parents also have control over children's implant, but should they have the power to do this? It could help children get well rested though, meaning they learn more in school.",16:34:03,1,1860
28599,What if it breaks?,723.0,495.0,160.0,120.0,ambivalent,1019,15.0,,,1,1860
28576,Useful for those in poor conditions,52.0,88.0,160.0,120.0,positive strong,1019,14.0,"For those in rough conditions e.g., during war or in uncomfortable conditions they could get to sleep more easily",16:28:16,1,1860
28406,Poorer people couldn't afford,408.0,544.0,160.0,120.0,negative strong,1019,7.0,"If these implants are expensive it could increase the divide between those who can and can't afford the devices, potentially reducing job opportunities for those that can't. ",16:21:55,1,1860
28490,Job's requiring it?,447.0,414.0,160.0,120.0,negative weak,1019,13.0,If people need these for jobs then they might get them even though they don't want to - this could reduce job opportunities for people who don't want them or can't afford them. ,16:22:50,1,1860
28444,What if you need to wake up?,187.0,489.0,160.0,120.0,ambivalent,1019,12.0,,16:19:25,1,1860
28423,Improve concentration by being more awake,193.0,26.0,160.0,120.0,positive,1019,11.0,,,1,1860
28416,data privacy issues,702.0,295.0,160.0,120.0,negative,1019,9.0,,16:18:24,1,1860
28399,Could become reliant on it,55.0,359.0,160.0,120.0,negative,1019,6.0,Might make it harder for people to sleep without one,16:24:24,1,1860
28394,Unhealthy,268.0,357.0,160.0,120.0,negative strong,1019,5.0,research is needed on potential health effects,16:24:07,1,1860
28387,Save time trying to get to sleep,92.0,191.0,160.641,120.0,positive strong,1019,4.0,Efficient as you don't waste time trying to fall asleep,16:27:32,1,1860
28383,Helps insomniacs,350.0,139.0,160.0,120.0,positive strong,1019,3.0,,,1,1860
28376,Hacking risks,602.0,107.0,160.0,120.0,negative strong,1019,2.0,,16:31:22,1,1860
28355,technological implant,472.0,290.0,160.0,120.0,neutral,1019,1.0, ,,1,1860
