id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28374,"medical uses eg insmnia, narcolepsy??",309.0,499.0,160.0,120.0,positive strong,992,12.0,,,1,1833
28315,Better health,706.0,11.0,160.0,120.0,positive strong,992,11.0,,,1,1833
28273,More efficient,686.0,410.0,160.0,120.0,positive,992,10.0,,,1,1833
28236,More productive at work,666.0,256.0,160.0,120.0,positive weak,992,9.0,,,1,1833
28194,Discrimination,90.0,316.0,160.0,120.0,negative strong,992,7.0,,,1,1833
28188,Might be compulsory,99.0,172.0,160.0,120.0,negative,992,6.0,,,1,1833
28162,More energy,432.0,54.0,160.0,120.0,positive,992,5.0,,,1,1833
28159,Easier to get to sleep,804.0,120.0,160.0,120.0,positive,992,4.0,,16:00:33,1,1833
28155,More sleep,641.0,65.0,160.0,120.0,positive strong,992,3.0,,16:00:02,1,1833
28152,technological implant,472.0,290.0,160.0,120.0,neutral,992,1.0, ,,1,1833
