id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29443,less risk of accidents,20.5,50.0,160.0,120.0,positive strong,1053,22.0,,,1,1896
29442,work for longer periods without sleep,148.429,427.429,160.0,120.0,positive strong,1053,21.0,,,1,1896
29441,no maintenance required,851.111,443.444,160.0,120.0,positive strong,1053,20.0,,,1,1896
29438,possible side effects eg addiction,924.0,303.0,184.66,138.0,negative strong,1053,19.0,,,1,1896
29437,less use for sleeping drugs,753.0,165.0,151.326,113.0,positive strong,1053,18.0,,,1,1896
29436,can be turned off if no longer needed,634.0,46.0,160.0,120.0,positive strong,1053,17.0,,,1,1896
29435,class system,608.0,466.0,160.0,120.0,negative strong,1053,16.0,,20:01:07,1,1896
29434,work more efficiently,-6.0,322.0,160.0,120.0,positive strong,1053,15.0,,19:43:38,1,1896
29433,controlled by user on phone app,217.0,37.0,160.0,120.0,positive strong,1053,14.0,,19:41:37,1,1896
29016,being controlled,324.0,464.0,160.0,120.0,negative strong,1053,13.0,,,1,1896
29002,hacking,290.0,321.0,160.0,120.0,negative strong,1053,12.0,,,1,1896
28990, coercion through societal pressure,497.0,301.0,193.196,138.0,negative strong,1053,11.0,,19:59:25,1,1896
28987,regulate sleep,116.0,212.0,160.0,120.0,positive strong,1053,10.0,,17:10:07,1,1896
28968,located in the brain,696.0,294.0,160.0,120.0,neutral,1053,7.0,,19:57:06,1,1896
28962,technological implant,449.0,124.0,223.325,167.0,neutral,1053,6.0,,19:39:47,1,1896
