id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29760,28987,29443,Solid-Weak,1053,0,none,20:03:11,1896
29759,28987,29442,Solid-Weak,1053,0,none,20:01:37,1896
29758,28968,29441,Solid-Weak,1053,0,none,19:57:28,1896
29755,29438,29437,Dashed-Weak,1053,0,none,19:51:41,1896
29754,28962,29437,Solid-Weak,1053,0,none,19:46:21,1896
29753,28962,29436,Solid-Weak,1053,0,none,19:45:12,1896
29752,28990,29435,Solid-Weak,1053,0,none,19:44:19,1896
29751,28987,29434,Solid-Weak,1053,0,none,19:43:39,1896
29750,29002,29433,Dashed-Weak,1053,0,none,19:42:07,1896
29749,28962,29433,Solid-Weak,1053,0,none,19:41:48,1896
29183,29002,29016,Solid-Weak,1053,0,none,17:14:52,1896
29123,28962,29002,Dashed,1053,0,none,17:12:20,1896
29107,28962,28990,Dashed,1053,0,none,17:11:07,1896
29103,28962,28987,Solid-Weak,1053,0,none,17:10:16,1896
29092,28962,28968,Solid-Weak,1053,0,none,17:08:56,1896
