id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28418,28251,28391,Solid-Weak,1011,0,none,16:22:23,1852
28401,28327,28479,Solid-Weak,1011,0,uni,16:21:05,1852
28385,28327,28443,Dashed-Weak,1011,0,uni,16:20:57,1852
28338,28251,28386,Dashed-Weak,1011,0,none,16:28:35,1852
28319,28296,28391,Dashed-Weak,1011,0,none,16:29:13,1852
28304,28251,28403,Dashed-Weak,1011,0,none,16:29:07,1852
28308,28391,28403,Dashed-Weak,1011,0,none,16:28:50,1852
28266,28251,28327,Solid-Weak,1011,0,uni,16:15:01,1852
28242,28323,28251,Solid-Weak,1011,0,uni,16:13:58,1852
28181,28276,28251,Solid-Weak,1011,0,uni,16:10:57,1852
28175,28264,28251,Solid-Weak,1011,0,uni,16:10:28,1852
