id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28200,Could get into the wrong hands,781.0,127.0,160.0,120.0,negative strong,1001,3.0,If someone got control of them then they could send people to sleep whenever they wanted,16:16:50,1,1840
28390,Used for wrong benefits,658.0,31.0,160.0,120.0,negative weak,1001,14.0,"If anyone can get it then it would mean people could use it to stay up for days on end partying, committing crimes, or other unbeneficial acts",16:16:34,1,1840
28325,Cause protests if people disagree,760.0,530.0,160.0,120.0,negative weak,1001,13.0,,16:13:07,1,1840
28290,Help students work better,225.0,556.0,160.0,120.0,positive weak,1001,12.0,Student's often struggle with sleep schedules so being able to work during the day and sleep at night would be a good routine for them,16:15:17,1,1840
28247,Could prevent freedom if we're forced to have it,809.0,411.0,160.0,120.0,negative,1001,11.0,,16:09:14,1,1840
28223,Social divides,783.0,255.0,160.0,120.0,negative,1001,9.0,If only some people have them then there could be divides between those who do and don't,16:17:32,1,1840
28210,Help insomniacs,237.0,97.0,160.0,120.0,positive weak,1001,7.0,For people who have trouble sleeping it would enable them to sleep and feel more energised.,16:14:18,1,1840
28209,More productivity,390.0,487.0,160.0,120.0,positive,1001,6.0,,,1,1840
28207,Help with jobs,162.0,410.0,160.0,120.0,positive weak,1001,5.0,If people work night shifts or long shifts it could enable them to stay awake for long periods of time,16:14:45,1,1840
28202,Medical benefits,103.0,229.0,160.0,120.0,positive,1001,4.0,,,1,1840
28189,Fixes itself,456.0,56.0,160.0,120.0,positive strong,1001,2.0,,,1,1840
28182,technological implant,472.0,290.0,160.0,120.0,neutral,1001,1.0, ,,1,1840
