id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28288,28182,28390,Dashed-Weak,1001,0,none,16:15:55,1840
28229,28182,28325,Dashed-Weak,1001,0,none,16:13:19,1840
28227,28223,28325,Solid-Weak,1001,0,none,16:13:28,1840
28225,28247,28325,Solid-Weak,1001,0,none,16:13:11,1840
28207,28209,28290,Solid-Weak,1001,0,none,16:11:56,1840
28201,28182,28290,Solid-Weak,1001,0,none,16:11:45,1840
28199,28207,28290,Solid-Weak,1001,0,none,16:11:43,1840
28155,28182,28247,Dashed,1001,0,none,16:09:26,1840
28138,28182,28223,Dashed,1001,0,none,16:08:15,1840
28134,28202,28210,Solid-Weak,1001,0,none,16:07:38,1840
28130,28207,28209,Solid-Weak,1001,0,none,16:07:17,1840
28125,28182,28210,Solid-Weak,1001,0,none,16:07:03,1840
28122,28182,28209,Solid,1001,0,none,16:06:35,1840
28119,28182,28207,Solid-Weak,1001,0,none,16:06:16,1840
28110,28182,28202,Solid,1001,0,none,16:05:43,1840
28106,28182,28200,Dashed-Strong,1001,0,none,16:05:16,1840
28101,28182,28189,Solid-Strong,1001,0,none,16:04:36,1840
