id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28959,28792,28780,Dashed,1041,0,none,16:59:11,1883
28955,28786,28859,Dashed-Strong,1041,0,none,16:59:03,1883
28952,28829,28786,Dashed,1041,0,none,16:58:56,1883
28950,28806,28891,Dashed-Strong,1041,0,none,16:58:46,1883
28946,28894,28896,Dashed-Strong,1041,0,none,16:58:19,1883
28940,28894,28909,Solid-Weak,1041,0,none,16:57:57,1883
28939,28894,28899,Dashed-Strong,1041,0,none,16:57:55,1883
28935,28780,28899,Dashed-Strong,1041,0,none,16:57:48,1883
28934,28780,28899,Solid-Weak,1041,0,none,16:57:44,1883
28933,28786,28885,Solid-Strong,1041,0,none,16:57:38,1883
28929,28824,28786,Dashed,1041,0,none,16:57:30,1883
28927,28792,28896,Dashed-Strong,1041,0,none,16:57:24,1883
28926,28792,28884,Solid-Weak,1041,0,none,16:57:15,1883
28924,28778,28894,Dashed-Strong,1041,0,uni,16:57:07,1883
28872,28780,28859,Dashed-Strong,1041,0,none,16:53:20,1883
28871,28780,28855,Dashed-Strong,1041,0,none,16:53:12,1883
28870,28780,28866,Dashed-Strong,1041,0,none,16:53:06,1883
28868,28806,28786,Solid-Strong,1041,0,none,16:52:53,1883
28867,28829,28790,Dashed-Strong,1041,0,none,16:52:40,1883
28864,28815,28790,Solid-Weak,1041,0,none,16:52:35,1883
28861,28815,28813,Solid-Strong,1041,0,none,16:52:29,1883
28858,28813,28790,Dashed-Strong,1041,0,none,16:52:25,1883
28857,28811,28790,Dashed-Strong,1041,0,none,16:52:19,1883
28854,28824,28790,Dashed-Strong,1041,0,none,16:52:15,1883
28853,28795,28792,Solid-Strong,1041,0,none,16:52:05,1883
28851,28797,28792,Solid,1041,0,none,16:52:02,1883
28848,28801,28792,Solid-Strong,1041,0,none,16:51:51,1883
28834,28790,28778,Dashed-Strong,1041,0,none,16:50:38,1883
28830,28792,28778,Solid,1041,0,none,16:50:31,1883
28824,28786,28778,Solid-Strong,1041,0,none,16:50:15,1883
28818,28778,28780,Dashed-Strong,1041,0,none,16:49:46,1883
