id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29019,28679,28737,Solid,1044,0,none,17:03:58,1886
29009,28817,28934,Dashed-Weak,1044,0,none,17:02:47,1886
28993,28746,28928,Solid-Weak,1044,0,none,17:01:38,1886
28992,28746,28929,Solid-Weak,1044,0,none,17:01:35,1886
28975,28679,28799,Dashed-Weak,1044,0,none,17:00:13,1886
28960,28781,28817,Dashed-Weak,1044,0,none,16:59:17,1886
28951,28762,28770,Dashed-Weak,1044,0,none,16:58:55,1886
28947,28726,28781,Dashed-Weak,1044,0,none,16:58:29,1886
28944,28762,28765,Dashed-Weak,1044,0,none,16:58:14,1886
28938,28679,28765,Dashed-Weak,1044,0,none,16:58:03,1886
28930,28679,28809,Dashed-Weak,1044,0,none,16:57:30,1886
28915,28689,28857,Solid,1044,0,uni,16:56:54,1886
28911,28833,28689,Solid,1044,0,none,16:56:21,1886
28826,28679,28746,Solid,1044,0,none,16:50:24,1886
28702,28726,28679,Dashed,1044,0,none,16:40:47,1886
28675,28679,28689,Solid,1044,0,none,16:39:17,1886
