id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28912,Could be used as a status symbol,804.25,93.75,159.316,118.984,negative weak,1032,31.0,,,1,1874
28864,Could be dangerous,583.996,465.246,160.0,120.0,negative weak,1032,29.0,What if the procedure went wrong?,16:52:26,1,1874
28847,Could lead to global inequality,713.75,342.25,160.0,120.0,negative,1032,28.0,Healthcare inequality in the global south,16:52:47,1,1874
28837,Could make people a lot of money,91.25,284.75,160.0,120.0,positive weak,1032,25.0,,,1,1874
28791,"Wouldn't feel comfortable with it, worries about technology like the cybermen in doctor who",361.0,435.25,201.992,150.996,negative,1032,24.0,,,1,1874
28760,Could go against religious beliefs ,222.0,378.0,160.0,120.0,negative weak,1032,22.0,Playing God?,16:55:35,1,1874
28750,Could be unethical,679.0,248.0,160.0,120.0,negative weak,1032,21.0,People might not agree with it,16:53:06,1,1874
28730,Technology could be hacked,361.0,321.0,160.0,120.0,negative strong,1032,16.0,Could be used for terrorist groups or other bad reasons,16:55:54,1,1874
28722,"Could be used for profit, drives capitalism",543.0,366.0,160.0,120.0,negative,1032,15.0,Amazon or another dodgy company could use it to exploit their workers,16:54:17,1,1874
28715,Employers could use it to exploit their workers,498.988,240.996,160.0,120.0,negative strong,1032,14.0,,,1,1874
28701,People could feel pressured to get the implant,633.0,150.0,160.0,120.0,negative weak,1032,11.0,,16:41:21,1,1874
28690,Could create an unequal class system,608.0,20.0,195.312,145.996,negative,1032,10.0,Can't abolish the class system if inequality and status symbols continue to persist,16:53:34,1,1874
28655,Good for people with medical conditions,236.0,211.0,160.0,120.0,positive strong,1032,8.0,Means people won't get addicted as much,16:55:21,1,1874
28639,People can get to sleep easier,216.0,115.0,159.312,119.0,positive,1032,5.0,This would be good for productivity,16:34:12,1,1874
28623,Technological implant,407.0,112.0,193.266,144.469,neutral,1032,1.0,,16:32:02,1,1874
