id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29172,28732,29009,Solid-Weak,1046,0,none,17:14:19,1889
29117,28732,28999,Dashed-Weak,1046,0,none,17:11:48,1889
29105,28774,28840,Solid-Weak,1046,0,none,17:10:30,1889
29091,28732,28906,Dashed-Weak,1046,0,none,17:08:58,1889
29090,28732,28840,Solid-Weak,1046,0,none,17:08:45,1889
29088,28732,28757,Solid-Weak,1046,0,none,17:08:32,1889
29086,28732,28932,Solid-Weak,1046,0,none,17:08:23,1889
29083,28732,28941,Solid-Weak,1046,0,none,17:08:12,1889
29075,28732,28924,Solid-Weak,1046,0,none,17:07:56,1889
29070,28732,28774,Solid-Weak,1046,0,none,17:07:44,1889
29067,28732,28901,Solid-Weak,1046,0,none,17:07:24,1889
29058,28732,28946,Dashed-Weak,1046,0,none,17:06:59,1889
29055,28732,28793,Dashed-Weak,1046,0,none,17:06:33,1889
29051,28732,28818,Dashed-Weak,1046,0,none,17:06:23,1889
29048,28732,28890,Dashed-Weak,1046,0,none,17:06:08,1889
29035,28732,28856,Dashed-Weak,1046,0,none,17:05:45,1889
