id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29798,29450,29449,Solid-Weak,1058,0,uni,22:46:48,1901
29797,29047,29450,Solid-Weak,1058,0,uni,22:46:17,1901
29787,29090,29040,Solid-Weak,1058,0,none,22:33:04,1901
29786,29090,29040,Solid-Weak,1058,0,none,22:32:52,1901
29785,29047,29040,Solid-Weak,1058,0,none,22:31:56,1901
29784,29043,29449,Solid-Weak,1058,0,uni,22:43:57,1901
29779,29040,29043,Solid-Weak,1058,0,uni,22:25:37,1901
29780,29043,29047,Solid-Weak,1058,0,none,22:24:46,1901
29776,29043,29047,Solid-Weak,1058,0,none,22:24:09,1901
29767,29061,29120,Solid-Weak,1058,0,uni,22:16:05,1901
29766,29061,29040,Solid-Weak,1058,0,none,22:15:40,1901
29765,29164,29066,Solid-Weak,1058,0,none,21:49:10,1901
29763,29061,29084,Solid-Weak,1058,0,uni,21:46:34,1901
29762,29061,29149,Solid-Weak,1058,0,uni,21:46:02,1901
29761,29064,29066,Solid-Weak,1058,0,uni,21:42:12,1901
29737,29145,29064,Solid-Weak,1058,0,none,19:17:04,1901
29736,29040,29064,Solid-Weak,1058,0,none,22:32:16,1901
29733,29090,29040,Solid-Weak,1058,0,none,19:00:30,1901
29732,29090,29040,Solid-Weak,1058,0,none,19:00:09,1901
29731,29064,29149,Solid-Weak,1058,0,uni,18:59:32,1901
29728,29090,29041,Solid-Weak,1058,0,uni,18:53:04,1901
29723,29164,29090,Solid-Weak,1058,0,none,18:50:00,1901
29718,29090,29164,Solid-Weak,1058,0,uni,18:48:34,1901
29717,29164,29090,Solid-Weak,1058,0,none,18:48:13,1901
29716,29164,29090,Solid-Weak,1058,0,none,18:48:11,1901
29715,29164,29040,Solid-Weak,1058,0,none,18:47:42,1901
29711,29164,29090,Solid-Weak,1058,0,uni,18:46:01,1901
