id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29176,Cost,357.286,134.714,160.0,120.0,negative weak,1055,19.0,,,1,1898
29173,hackers,284.286,644.286,160.0,120.0,negative strong,1055,18.0,,,1,1898
29172,Safety,465.714,570.0,160.0,120.0,negative weak,1055,17.0,,,1,1898
29171,automatically metabolized,724.286,446.143,160.0,120.0,neutral,1055,16.0,,,1,1898
29170,Better sleep,721.429,145.714,160.0,120.0,positive,1055,15.0,,,1,1898
29167,Jobs created,1099.71,114.714,171.317,127.991,neutral,1055,14.0,,,1,1898
29166,Factories used,1048.57,272.857,167.321,125.0,ambivalent,1055,13.0,,,1,1898
29165,Sustainabiliy,817.286,275.424,160.0,120.0,ambivalent,1055,11.0,,,1,1898
29133,Exploitation ,32.8349,484.143,156.629,116.964,negative strong,1055,9.0,Companies could use this implant to their advantage for example: employees working longer shifts than necessary ,17:47:27,1,1898
29017,Wealth Inequality,159.0,75.0,199.308,148.996,negative strong,1055,2.0,"Assuming the implant is NOT free, people on low incomes would not be able to afford this where as middle-upper class would be able to. Thus, creating an even bigger divide in wealth in our society ",17:34:20,1,1898
29102,not natural,793.286,13.0,160.0,120.0,neutral,1055,8.0,Can this really be healthy for our body,17:32:56,1,1898
29049,Malicious Behaviour,164.0,295.0,199.312,149.0,negative strong,1055,5.0,,,1,1898
29032,Sleep disorders,501.0,36.0,181.987,135.982,ambivalent,1055,3.0,,17:44:31,1,1898
28975,technological implant,472.0,290.0,160.0,120.0,neutral,1055,1.0, ,,1,1898
