id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28755,excitement,388.571,90.0,160.0,120.0,positive weak,1024,40.0,new technological advancements,16:43:58,1,1866
28738,fear. ,1276.0,218.0,160.0,120.0,negative,1024,35.0,people fear the unknown. fear of technology. ,16:42:27,1,1866
28725,benifits,598.333,130.0,160.0,120.0,positive weak,1024,32.0,,16:41:18,1,1866
28698,Risks unknown,1301.67,376.667,193.984,145.0,negative strong,1024,28.0,the implant is new. nobody knows the risks. the risks may outweigh the benefits.,16:39:28,1,1866
28687,fewer accidents.,190.0,576.667,160.0,120.0,positive weak,1024,27.0,fewer accidents at work due to more sleep,16:37:55,1,1866
28664,more rest for missions,288.333,843.333,160.0,120.0,positive weak,1024,25.0,,,1,1866
28651,alter mentality.,686.667,850.0,160.0,120.0,negative strong,1024,23.0,could make them more willing to kill. ,16:35:55,1,1866
28641,special forces,461.667,615.0,160.0,120.0,ambivalent,1024,22.0,,16:41:27,1,1866
28617,sleeping disorder,1118.33,580.0,160.0,120.0,positive strong,1024,19.0,can prevent sleep medication addiction.,16:32:24,1,1866
28555,profit,785.0,531.667,160.0,120.0,positive strong,1024,11.0,,16:26:39,1,1866
28536,no maintenance,849.0,123.0,160.0,120.0,positive,1024,10.0,,,1,1866
28514,Hackers,112.0,51.0,160.0,120.0,negative strong,1024,9.0,could seriously harm people forcing people to sleep,16:36:24,1,1866
28499,controlled via phone,150.0,207.0,210.0,156.979,negative strong,1024,6.0,phones can be lost. broken. stolen. hacked,16:36:45,1,1866
28453,easily implanted,701.0,205.0,136.641,102.0,positive,1024,2.0,,,1,1866
28438,technological implant,472.0,290.0,195.0,139.281,neutral,1024,1.0, ,,1,1866
