id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28139,28208,28175,Solid-Weak,997,0,uni,16:11:24,1836
28183,28187,28204,Solid-Weak,997,0,uni,16:11:08,1836
28177,28187,28179,Solid-Weak,997,0,uni,16:10:45,1836
28164,28184,28193,Solid-Weak,997,0,none,16:09:42,1836
28162,28168,28193,Solid-Weak,997,0,none,16:09:37,1836
28160,28179,28187,Solid-Weak,997,0,none,16:09:34,1836
28159,28184,28187,Solid-Weak,997,0,none,16:09:32,1836
28158,28168,28187,Solid-Weak,997,0,none,16:09:28,1836
28157,28179,28184,Solid-Weak,997,0,none,16:09:25,1836
28156,28170,28184,Solid-Weak,997,0,uni,16:10:14,1836
28153,28168,28184,Solid-Weak,997,0,none,16:09:20,1836
28152,28179,28204,Solid-Weak,997,0,none,16:09:09,1836
28150,28179,28198,Dashed-Weak,997,0,none,16:09:04,1836
28149,28168,28179,Solid-Weak,997,0,none,16:08:57,1836
28147,28168,28198,Solid-Weak,997,0,none,16:08:48,1836
28146,28168,28197,Solid-Weak,997,0,none,16:08:45,1836
28145,28168,28175,Solid-Weak,997,0,none,16:08:42,1836
28137,28168,28208,Solid-Weak,997,0,none,16:08:04,1836
28132,28176,28168,Solid-Weak,997,0,none,16:07:44,1836
