id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28998,new technology,996.0,132.0,160.0,120.0,neutral,1051,21.0,,,1,1894
28993,Unfair advantaged over others,407.0,496.0,160.0,120.0,negative strong,1051,20.0,,17:11:06,1,1894
28986,Misused,582.0,444.0,160.0,120.0,negative strong,1051,19.0,,,1,1894
28976,Can be viewed as immoral,570.0,341.0,160.0,120.0,negative strong,1051,18.0,,,1,1894
28972,Can be hacked,220.0,293.0,160.0,120.0,negative strong,1051,17.0,,,1,1894
28961,Untested,370.0,169.0,160.0,120.0,negative strong,1051,14.0,,17:09:37,1,1894
28938,Less moody,1169.0,543.0,160.0,120.0,positive strong,1051,10.0,,17:03:28,1,1894
28936,you can concentrate,1064.0,409.0,158.0,118.0,positive,1051,9.0,,17:03:04,1,1894
28930,More productive,936.0,318.0,148.641,111.0,positive weak,1051,6.0,,17:01:42,1,1894
28919,Help with sleeping disorder,726.0,194.0,168.0,125.5,positive strong,1051,3.0,,17:06:20,1,1894
28903,technological implant,548.0,96.0,193.188,138.0,neutral,1051,1.0,,17:06:23,1,1894
