id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28541,Gives people choice,555.0,346.0,160.0,120.0,positive weak,1026,8.0,Would not be mandatory,16:40:21,1,1868
28556,sustainably produced,201.0,163.0,160.0,120.0,positive strong,1026,9.0,,16:40:24,1,1868
28650,Potential for divide,1110.0,533.0,160.0,120.0,negative strong,1026,16.0,,16:38:03,1,1868
28611,Can be controlled by smartphones,825.0,118.0,143.0,106.75,neutral,1026,13.0,,16:33:22,1,1868
28606,Guaranteed naps and sleeping cycles,569.0,20.0,160.0,120.0,neutral,1026,12.0,No more suffering from bad sleep and therefore being tired and unproductive at work.  Could also mean that leisure time can me maximised.,16:40:06,1,1868
28583,Increased productivity,895.0,522.0,160.0,120.0,positive weak,1026,11.0,,16:33:55,1,1868
28561,Can be metabolised at will of user,319.0,38.0,160.0,120.0,positive weak,1026,10.0,,16:38:08,1,1868
28510,employers could come to rely on it,1041.0,397.0,160.0,120.0,negative,1026,7.0,This would mean that employers could be biased and only employ those with the chip.  This would begin to chip away at individual freedoms.,16:24:56,1,1868
28468,no insomnia,812.0,20.0,151.312,113.0,positive,1026,3.0,,16:39:39,1,1868
28477,more efficient at work,737.0,459.0,160.0,120.0,positive weak,1026,4.0,,16:39:37,1,1868
28461,risk of hacking,1045.0,212.0,195.312,146.0,negative strong,1026,2.0,Hackers could put people to sleep in order to kidnap or steal from people.,16:32:46,1,1868
28450,technological implant,527.0,203.0,186.781,133.422,neutral,1026,1.0, ,,1,1868
