id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28709,28510,28541,Dashed-Weak,1026,0,none,16:40:58,1868
28699,28450,28561,Solid-Weak,1026,0,none,16:40:30,1868
28697,28450,28556,Solid-Weak,1026,0,none,16:40:28,1868
28670,28606,28468,Solid-Weak,1026,0,uni,16:38:44,1868
28666,28450,28606,Solid-Weak,1026,0,none,16:38:36,1868
28616,28583,28650,Solid-Weak,1026,0,uni,16:34:51,1868
28611,28583,28650,Solid-Weak,1026,0,none,16:34:28,1868
28587,28477,28583,Solid-Weak,1026,0,none,16:33:40,1868
28558,28611,28461,Solid-Weak,1026,0,uni,16:31:45,1868
28556,28450,28611,Solid-Weak,1026,0,none,16:31:36,1868
28476,28450,28541,Solid-Strong,1026,0,none,16:26:15,1868
28459,28450,28461,Solid,1026,0,none,16:25:29,1868
28454,28477,28510,Solid-Weak,1026,0,none,16:25:17,1868
28437,28450,28468,Solid-Weak,1026,0,none,16:23:55,1868
28435,28450,28461,Solid-Weak,1026,0,none,16:23:47,1868
28428,28450,28477,Solid-Weak,1026,0,none,16:23:05,1868
