id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28040,28026,28037,Dashed-Weak,986,0,none,21:43:06,1824
28039,28037,28047,Dashed-Weak,986,0,none,21:43:01,1824
28038,28034,28048,Dashed-Weak,986,0,none,21:41:35,1824
28037,28062,28074,Dashed-Weak,986,0,none,21:40:48,1824
28033,28037,28074,Dashed-Weak,986,0,none,21:39:27,1824
28032,28026,28034,Solid-Weak,986,0,none,21:38:27,1824
28031,28021,28034,Solid,986,0,none,21:38:13,1824
28030,28021,28026,Solid-Strong,986,0,none,21:38:03,1824
28006,28045,28060,Dashed-Weak,986,0,none,21:34:26,1824
28003,28022,28026,Solid-Weak,986,0,none,21:34:03,1824
28001,28021,28022,Solid,986,0,none,21:33:47,1824
27999,28026,28033,Solid-Weak,986,0,none,21:33:29,1824
27996,28026,28033,Solid-Weak,986,0,none,21:33:15,1824
27995,28026,28030,Solid-Weak,986,0,none,21:33:13,1824
27993,28026,28028,Solid-Weak,986,0,none,21:33:08,1824
27992,28026,28029,Solid-Weak,986,0,none,21:33:06,1824
27990,28022,28023,Solid-Weak,986,0,none,21:32:58,1824
27989,28025,28028,Solid-Weak,986,0,none,21:32:36,1824
27988,28025,28027,Solid-Weak,986,0,none,21:32:34,1824
27986,28022,28025,Solid-Weak,986,0,none,21:32:29,1824
27983,28022,28024,Solid-Weak,986,0,none,21:31:58,1824
27982,28022,28024,Solid-Weak,986,0,none,21:31:29,1824
27981,28034,28037,Dashed-Weak,986,0,none,21:39:35,1824
27979,28034,28047,Dashed-Weak,986,0,none,21:39:39,1824
27978,28035,28041,Dashed-Weak,986,0,none,21:34:50,1824
27976,28045,28056,Dashed-Weak,986,0,none,21:34:53,1824
27973,28056,28062,Solid-Weak,986,0,none,21:30:50,1824
27972,28056,28062,Solid-Weak,986,0,none,21:30:44,1824
27971,28056,28062,Solid-Weak,986,0,none,21:30:40,1824
27970,28056,28062,Dashed-Weak,986,0,none,21:34:17,1824
27969,28048,28056,Dashed-Weak,986,0,none,21:34:59,1824
27968,28045,28060,Dashed-Weak,986,0,none,21:41:04,1824
27967,28035,28045,Dashed-Weak,986,0,none,21:34:32,1824
27966,28021,28034,Solid-Weak,986,0,none,21:30:11,1824
27964,28021,28022,Solid-Weak,986,0,none,21:30:02,1824
27963,28021,28048,Solid,986,0,none,21:32:10,1824
27959,28021,28045,Solid,986,0,none,21:32:25,1824
