id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28572,More freedoom to complete activities/goals at any hour,433.0,160.0,160.0,120.0,positive strong,999,22.0,,,1,1838
28549,Shift work may become less unpleasant,237.0,339.0,160.0,120.0,positive,999,21.0,,16:26:20,1,1838
28535,Could help other areas of medical research to improve health outcomes,1108.0,355.0,160.0,120.0,positive strong,999,20.0,,,1,1838
28526,May create a biological lower class,1075.0,558.0,160.0,120.0,negative strong,999,19.0,,,1,1838
28513,Soldier may show less 'humanity' or emotion leading to more death,54.0,31.0,160.0,120.0,negative strong,999,18.0,,16:23:59,1,1838
28497,Use may encourage extreme lack of sleep,20.0,390.0,187.312,140.0,negative strong,999,17.0,,,1,1838
28487,Potential unknown impacts on health/circadian rhythms,597.0,43.0,160.0,120.0,negative,999,16.0,,,1,1838
28469,Soldiers able to sleep in any situation for any amount of time,327.0,20.0,160.0,120.0,positive weak,999,15.0,,16:20:30,1,1838
28446,Potential to improve military performace,192.0,185.0,160.0,120.0,positive weak,999,14.0,,16:19:18,1,1838
28431,Employers may encourage unreasonable working hours,267.0,544.0,160.0,120.0,negative,999,13.0,,16:17:56,1,1838
28410,Companies could make it a requirement to have implant,746.0,532.0,160.0,120.0,negative strong,999,12.0,,,1,1838
28248,Ability to improve performance at work,439.0,419.0,191.312,143.0,ambivalent,999,5.0,,16:09:21,1,1838
28371,Work productvity improved by more/better sleep,875.0,357.0,166.0,124.0,positive,999,10.0,,16:19:23,1,1838
28314,No need to prescribe addictive medication to insomniacs,977.0,164.0,184.641,138.0,positive strong,999,9.0,,16:13:13,1,1838
28291,Narcoleptics allowed to have normal lives free from restriction (e.g. no driving bans),845.0,20.0,156.0,116.5,positive strong,999,7.0,,,1,1838
28217,Alleviation of medical sleep problems,700.0,195.0,189.0,141.25,positive strong,999,3.0,,16:07:57,1,1838
28174,technological implant,472.0,290.0,170.797,122.0,neutral,999,1.0,,16:06:45,1,1838
