id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28510,28487,28572,Dashed,999,0,none,16:27:49,1838
28505,28174,28572,Solid-Strong,999,0,none,16:27:38,1838
28480,28248,28549,Solid-Weak,999,0,uni,16:26:40,1838
28466,28217,28535,Solid-Strong,999,0,none,16:25:46,1838
28451,28410,28526,Solid,999,0,uni,16:25:05,1838
28442,28469,28513,Solid,999,0,uni,16:24:18,1838
28440,28446,28513,Solid,999,0,none,16:24:08,1838
28421,28431,28497,Solid,999,0,uni,16:23:06,1838
28407,28487,28217,Dashed-Weak,999,0,uni,16:21:45,1838
28405,28487,28469,Dashed,999,0,uni,16:21:28,1838
28393,28446,28469,Solid,999,0,uni,16:20:33,1838
28364,28174,28446,Solid,999,0,none,16:19:36,1838
28341,28248,28431,Solid-Weak,999,0,uni,16:18:15,1838
28336,28410,28431,Solid-Weak,999,0,none,16:18:04,1838
28307,28371,28410,Solid-Weak,999,0,none,16:16:57,1838
28305,28248,28410,Solid,999,0,none,16:17:05,1838
28278,28371,28248,Solid,999,0,uni,16:15:47,1838
28272,28217,28371,Solid,999,0,uni,16:15:25,1838
28235,28217,28314,Solid-Strong,999,0,uni,16:13:37,1838
28208,28217,28291,Solid-Strong,999,0,uni,16:13:51,1838
28165,28174,28217,Solid-Strong,999,0,none,16:09:51,1838
28163,28174,28248,Solid,999,0,none,16:09:55,1838
28140,28174,28217,Solid,999,0,none,16:08:28,1838
