id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29644,economic productivity,22.7604,220.097,160.0,120.0,neutral,1098,17.0,the economy could improve if people are less fatigued and can work more on businesses ,17:31:47,1,1969
29643,personal productivity,321.556,419.222,160.0,120.0,positive strong,1098,16.0,,,1,1969
29640,opinions of others if were to use it,479.875,509.767,160.0,120.0,negative weak,1098,15.0,,,1,1969
29639,More scope for further innovation,879.0,188.0,160.0,120.0,ambivalent,1098,14.0,,17:26:11,1,1969
29638,The unknown,330.0,32.0,160.0,120.0,ambivalent,1098,13.0,,17:25:20,1,1969
29636,potential harm,624.0,-5.0,160.0,120.0,negative strong,1098,12.0,,,1,1969
29635,medical advancement,791.0,49.0,160.0,120.0,positive strong,1098,11.0,,,1,1969
29634,question of morality/ playing God,711.0,455.0,160.0,120.0,ambivalent,1098,10.0,,17:22:53,1,1969
29633,unnatural,773.0,294.0,160.0,120.0,ambivalent,1098,9.0,,17:22:58,1,1969
29631,No more fatigiue,92.0,491.0,163.312,122.0,positive strong,1098,8.0,,,1,1969
29624,Self improvement,111.0,85.0,120.641,90.0,positive strong,1098,6.0,,17:18:13,1,1969
29621,Productivity,157.986,344.993,160.0,120.0,positive,1098,5.0,,,1,1969
29620,Risk,450.0,72.0,171.0,127.75,negative strong,1098,4.0,,,1,1969
29619,innovation,643.0,171.0,161.641,120.719,neutral,1098,3.0,,17:16:09,1,1969
29605,technological implant,472.0,290.0,169.391,121.0,neutral,1098,1.0, ,,1,1969
