id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28463,How is it implanted?,524.0,468.0,227.312,170.0,ambivalent,1004,18.0,,,1,1850
28439,Alarm Control by App?,347.0,144.0,134.0,100.0,positive weak,1004,17.0,,16:18:30,1,1850
28413,Stops alarms from waking people up?,565.0,334.0,199.312,149.0,negative,1004,16.0,,,1,1850
28398,"Energy Boost, better sleep",697.0,263.0,160.0,120.0,positive weak,1004,15.0,,,1,1850
28388,Beneficial for Sleep Apnea etc.,697.0,97.0,160.0,120.0,positive weak,1004,14.0,,,1,1850
28349,Other People,192.0,544.0,160.0,120.0,neutral,1004,13.0,,,1,1850
28345,Employers,23.0,467.0,160.0,120.0,neutral,1004,12.0,,,1,1850
28343,Societial Requirement?,189.0,364.0,160.0,120.0,negative weak,1004,11.0,,16:14:35,1,1850
28316,Risk of Contamination,20.0,353.0,160.0,120.0,negative weak,1004,9.0,,16:12:52,1,1850
28305,Connectivity or Interference,64.0,104.0,160.0,120.0,negative weak,1004,8.0,,,1,1850
28294,Disposable in the Blood Stream,84.0,243.0,160.0,120.0,positive strong,1004,7.0,,,1,1850
28287,Self-Recharging,320.0,457.0,160.0,120.0,positive,1004,6.0,,,1,1850
28283,Lost of Device,394.0,20.0,160.0,120.0,negative,1004,5.0,,16:18:32,1,1850
28278,Controlled by App,558.0,50.0,160.0,120.0,positive weak,1004,4.0,,16:10:58,1,1850
28272,Risk of Hacking,169.0,20.0,200.641,150.0,negative strong,1004,3.0,,16:10:22,1,1850
28257,Sleep Cycle Control,603.0,184.0,160.0,120.0,positive strong,1004,2.0,,16:09:42,1,1850
28234,technological implant,388.0,289.0,160.0,120.0,neutral,1004,1.0, ,,1,1850
