id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28758,have/have-not classism,658.0,452.0,160.0,120.0,negative strong,1039,5.0,"classism will always be bad, and one group of people having something and another not having something could cause such a divide.",17:20:24,1,1881
28989,personal anxiety condition,49.0,314.0,160.0,120.0,negative weak,1039,15.0,"I have autism and anxiety conditions, meaning I personally am just a frightened person, something new like this will of course cause negative waves for that.",17:19:34,1,1881
29007,Violation of rights,570.0,544.0,160.0,120.0,negative strong,1039,17.0,,17:13:10,1,1881
28991,lack of bodily autonomy,367.0,242.0,160.0,120.0,negative strong,1039,16.0,,17:11:08,1,1881
28985,Effective workloads/betterment of business and economy,413.0,494.0,160.0,120.0,positive,1039,14.0,,17:10:11,1,1881
28816,Effective R&R periods,839.0,558.0,160.0,120.0,positive,1039,9.0,,17:09:31,1,1881
28831,possible morality effects,1078.0,445.0,160.0,120.0,ambivalent,1039,12.0,"cognitive and mental functions can effect morality. Therefore if both have an unknown effect, there is an unknown effect on morality. This is bad for health but also for military use where personel need to be at the best capability possible.",17:06:40,1,1881
28802,a feeling of a collective effort/progression,190.0,464.0,160.0,120.0,positive strong,1039,7.0,Feeling together as a community and striving forward to progress is a positive overall feeling for groups of people.,17:05:01,1,1881
28834,possible cognitive effects,1157.0,317.0,160.0,120.0,ambivalent,1039,13.0,The cognitive effects is at this point unknown and ergo ambivalent. Would having a more healthy sleep cycle cause cognitive health? Or would messing with natural sleep cause an unhealthy cognitive health effect?,17:02:44,1,1881
28826,possible mental effects,991.0,348.0,160.0,120.0,ambivalent,1039,11.0,it's unknown whether or not effecting your sleep cycle would have a positive effect (due to managing to sleep easier or at better times) or negatively (by effecting the natural sleep cycle). It could also effect how information is processed and retained leading to a potential increase in trauma.,17:07:21,1,1881
28823,Possible decision-based effects,1063.0,557.0,160.0,120.0,ambivalent,1039,10.0,,16:49:32,1,1881
28805,Military use,826.0,445.0,176.641,132.0,ambivalent,1039,8.0,,16:47:57,1,1881
28646,personal,129.0,156.0,215.312,161.0,ambivalent,1039,4.0,,17:10:29,1,1881
28644,Socio-political,602.0,282.0,202.0,151.0,ambivalent,1039,3.0,,16:43:52,1,1881
28640,Health,1054.0,172.0,196.641,147.0,ambivalent,1039,2.0,,16:39:38,1,1881
28634,technological implant,599.0,25.0,160.0,120.0,neutral,1039,1.0, ,,1,1881
