id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29531,29263,29266,Solid-Weak,1069,0,none,20:58:08,1914
29530,29264,29266,Solid-Weak,1069,0,none,20:57:41,1914
29529,29262,29264,Solid-Weak,1069,0,none,20:56:22,1914
29528,29265,29266,Solid-Weak,1069,0,none,20:55:28,1914
29527,29261,29265,Solid-Weak,1069,0,none,20:55:23,1914
29526,29261,29263,Solid-Weak,1069,0,none,20:55:15,1914
29525,29261,29263,Solid-Weak,1069,0,none,20:55:02,1914
29524,29263,29264,Solid-Weak,1069,0,none,20:54:59,1914
29523,29262,29264,Solid-Weak,1069,0,none,20:54:53,1914
29522,29261,29262,Solid-Weak,1069,0,none,20:54:41,1914
29521,29261,29264,Solid-Weak,1069,0,none,20:54:33,1914
29520,29261,29266,Solid-Weak,1069,0,none,20:54:28,1914
