id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28699,trendy,453.667,752.0,160.0,120.0,neutral,1003,19.0,,,1,1842
28649,scientific advances,28.3194,28.3299,160.0,120.0,positive weak,1003,18.0,,16:34:13,1,1842
28627,physical harm,1049.0,789.653,160.0,120.0,negative strong,1003,17.0,,16:32:51,1,1842
28621,blackmail/extortion,746.983,828.979,160.0,120.0,negative strong,1003,15.0,,16:32:46,1,1842
28610,no environmental impact,1252.99,521.983,160.0,120.0,positive strong,1003,14.0,,16:30:49,1,1842
28594,imroved health,309.604,136.958,160.0,120.0,positive strong,1003,13.0,,16:29:52,1,1842
28557,improves economy,21.0,637.257,160.0,120.0,positive weak,1003,12.0,,,1,1842
28480,rise of oppressive governments,974.306,20.0,160.0,120.0,negative strong,1003,11.0,,16:21:51,1,1842
28448,increased conflicts worldwide,746.653,24.0,160.0,120.0,negative strong,1003,10.0,,16:21:26,1,1842
28289,can be hacked,772.184,658.729,160.0,120.0,negative strong,1003,8.0,,16:17:40,1,1842
28285,creates greater inequality,299.5,546.229,160.0,120.0,negative strong,1003,7.0,,16:17:48,1,1842
28260,improves military,523.962,24.9826,160.0,120.0,ambivalent,1003,6.0,,16:16:45,1,1842
28253,allows for greater productivity,123.941,322.931,160.0,120.0,positive weak,1003,5.0,,16:17:58,1,1842
28222,can biodegrade,973.927,494.948,160.0,120.0,positive strong,1003,4.0,,16:10:35,1,1842
28220,uses energy from body,1241.91,156.889,160.0,120.0,positive strong,1003,3.0,,16:10:49,1,1842
28212,regulates sleep cycle,342.913,342.913,157.969,117.969,positive strong,1003,2.0,,16:10:28,1,1842
28206,technological implant,722.972,295.976,160.0,120.0,neutral,1003,1.0, ,,1,1842
