id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28667,28206,28699,Solid-Weak,1003,0,none,16:38:37,1842
28655,28480,28610,Dashed-Weak,1003,0,none,16:38:01,1842
28644,28289,28594,Dashed-Weak,1003,0,none,16:36:52,1842
28639,28212,28289,Dashed-Strong,1003,0,none,16:36:35,1842
28637,28289,28557,Dashed-Weak,1003,0,none,16:36:28,1842
28628,28448,28610,Dashed-Strong,1003,0,none,16:35:27,1842
28617,28260,28594,Solid-Weak,1003,0,none,16:34:43,1842
28614,28557,28649,Solid-Weak,1003,0,none,16:34:36,1842
28610,28260,28649,Solid-Weak,1003,0,none,16:34:25,1842
28607,28594,28649,Solid-Weak,1003,0,none,16:34:23,1842
28606,28253,28649,Solid-Weak,1003,0,none,16:34:22,1842
28581,28289,28621,Solid-Strong,1003,0,none,16:33:09,1842
28578,28289,28627,Solid-Strong,1003,0,none,16:33:01,1842
28576,28621,28627,Solid-Strong,1003,0,none,16:32:58,1842
28575,28289,28621,Solid-Weak,1003,0,none,16:32:53,1842
28550,28220,28610,Solid-Strong,1003,0,none,16:31:16,1842
28543,28222,28610,Solid-Strong,1003,0,none,16:30:53,1842
28532,28253,28594,Solid,1003,0,none,16:30:20,1842
28528,28212,28594,Solid-Strong,1003,0,none,16:30:01,1842
28495,28557,28253,Solid-Weak,1003,0,uni,16:27:11,1842
28492,28285,28557,Dashed-Weak,1003,0,none,16:26:55,1842
28438,28285,28206,Solid-Weak,1003,0,uni,16:23:59,1842
28429,28289,28206,Solid,1003,0,uni,16:23:27,1842
28422,28480,28448,Solid-Weak,1003,0,uni,16:22:33,1842
28416,28448,28260,Solid-Weak,1003,0,uni,16:22:23,1842
28286,28222,28206,Solid-Strong,1003,0,none,16:16:19,1842
28268,28260,28212,Solid,1003,0,uni,16:15:30,1842
28259,28253,28212,Solid,1003,0,uni,16:14:46,1842
28224,28220,28206,Solid-Strong,1003,0,none,16:16:06,1842
28206,28212,28206,Solid,1003,0,uni,16:13:00,1842
