id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28548,28320,28543,Solid-Weak,1014,0,none,16:30:57,1855
28547,28320,28543,Solid-Weak,1014,0,none,16:30:57,1855
28546,28320,28543,Solid-Weak,1014,0,none,16:30:56,1855
28541,28427,28454,Solid-Weak,1014,0,none,16:30:46,1855
28538,28320,28367,Solid-Weak,1014,0,none,16:30:36,1855
28537,28320,28362,Solid-Weak,1014,0,none,16:30:31,1855
28535,28362,28445,Solid-Weak,1014,0,none,16:30:26,1855
28533,28362,28445,Solid-Strong,1014,0,none,16:30:23,1855
28526,28320,28502,Solid-Strong,1014,0,none,16:29:59,1855
28524,28418,28502,Solid-Weak,1014,0,none,16:29:43,1855
28522,28396,28418,Solid-Strong,1014,0,uni,16:29:27,1855
28520,28367,28491,Solid-Weak,1014,0,none,16:29:01,1855
28514,28329,28418,Solid,1014,0,none,16:27:58,1855
28513,28329,28418,Solid-Weak,1014,0,none,16:27:56,1855
28497,28427,28543,Solid-Strong,1014,0,none,16:27:27,1855
