id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29707,29403,29408,Solid-Weak,1083,0,none,18:42:30,1933
29694,29408,29412,Solid-Weak,1083,0,uni,18:38:53,1933
29693,29408,29413,Solid-Weak,1083,0,uni,18:37:39,1933
29692,29408,29410,Solid-Weak,1083,0,uni,18:38:49,1933
29691,29396,29408,Solid-Weak,1083,0,none,18:36:36,1933
29690,29396,29414,Solid-Weak,1083,0,none,18:36:31,1933
29689,29415,29417,Solid-Weak,1083,0,uni,18:40:15,1933
29688,29396,29415,Solid-Weak,1083,0,none,18:36:19,1933
29687,29396,29403,Solid-Weak,1083,0,none,18:36:05,1933
29686,29396,29405,Solid-Weak,1083,0,none,18:36:02,1933
29685,29396,29401,Solid-Weak,1083,0,none,18:33:29,1933
29684,29396,29400,Solid-Weak,1083,0,none,18:33:24,1933
29683,29396,29399,Solid-Weak,1083,0,none,18:33:21,1933
29682,29396,29398,Solid-Weak,1083,0,none,18:33:12,1933
29681,29396,29397,Solid-Weak,1083,0,none,18:32:54,1933
