id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28036,28032,28073,Solid-Weak,987,0,none,21:39:41,1825
28035,28073,28075,Solid-Weak,987,0,none,21:39:38,1825
28034,28032,28073,Solid-Weak,987,0,none,21:39:33,1825
28029,28054,28055,Solid-Weak,987,0,none,21:37:11,1825
28028,28050,28054,Solid-Weak,987,0,none,21:37:00,1825
28027,28050,28055,Solid-Weak,987,0,none,21:36:58,1825
28026,28032,28050,Solid-Weak,987,0,none,21:36:55,1825
28025,28036,28039,Solid-Weak,987,0,none,21:36:51,1825
28024,28036,28064,Solid-Weak,987,0,none,21:36:48,1825
28023,28032,28036,Solid-Weak,987,0,none,21:36:43,1825
28021,28057,28059,Solid-Weak,987,0,none,21:36:14,1825
28019,28057,28058,Solid-Weak,987,0,none,21:36:11,1825
28018,28032,28057,Solid-Weak,987,0,none,21:36:09,1825
28015,28071,28072,Solid-Weak,987,0,none,21:35:56,1825
28014,28032,28071,Solid-Weak,987,0,none,21:35:54,1825
28013,28032,28065,Solid-Weak,987,0,none,21:35:48,1825
28012,28063,28068,Solid-Weak,987,0,uni,21:35:41,1825
28011,28068,28069,Solid-Weak,987,0,none,21:35:27,1825
28010,28063,28069,Dashed-Strong,987,0,none,21:35:19,1825
28009,28032,28063,Solid-Weak,987,0,none,21:35:07,1825
28008,28032,28046,Solid-Weak,987,0,none,21:34:59,1825
28004,28046,28070,Solid-Weak,987,0,uni,21:34:23,1825
