id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30032,29581,29850,Solid-Weak,1095,0,none,11:24:41,1965
30031,29577,29851,Solid-Weak,1095,0,none,11:24:11,1965
30029,29566,29850,Solid-Weak,1095,0,none,11:23:15,1965
30028,29583,29569,Solid-Weak,1095,0,none,11:22:40,1965
30027,29592,29590,Solid-Weak,1095,0,none,11:22:37,1965
30026,29590,29567,Solid-Weak,1095,0,none,11:22:32,1965
30025,29590,29561,Solid-Weak,1095,0,none,11:22:26,1965
30024,29573,29561,Dashed-Weak,1095,0,none,11:22:15,1965
30020,29583,29561,Solid-Weak,1095,0,none,11:21:19,1965
29895,29567,29592,Solid-Weak,1095,0,none,17:04:26,1965
29888,29573,29579,Solid-Weak,1095,0,none,17:01:54,1965
29887,29562,29566,Dashed-Weak,1095,0,none,17:01:34,1965
29884,29566,29581,Solid-Weak,1095,0,none,17:01:08,1965
29876,29573,29577,Solid-Weak,1095,0,none,17:00:08,1965
29874,29562,29567,Solid-Weak,1095,0,none,16:58:04,1965
29873,29561,29567,Solid-Weak,1095,0,none,16:58:03,1965
29872,29561,29566,Solid-Weak,1095,0,none,16:57:17,1965
29871,29561,29562,Solid-Weak,1095,0,none,16:56:49,1965
