id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31144,No more insomnia,56.9826,494.285,160.0,120.0,positive strong,1186,20.0,,18:24:44,1,2145
31131,Can be misused,462.496,815.33,160.0,120.0,negative weak,1186,19.0,,18:10:53,1,2145
31092,May become mandatory,992.896,624.931,160.0,120.0,negative strong,1186,17.0,,18:06:28,1,2145
31086,Better productivity,791.649,506.358,160.0,120.0,positive strong,1186,16.0,,18:06:08,1,2145
31107,Enjoy life more,126.958,704.969,160.0,120.0,positive weak,1186,18.0,,18:24:29,1,2145
31052,Psychological effects such as stress,839.146,831.778,160.0,120.0,negative strong,1186,12.0,,18:03:35,1,2145
31038,Not available for everyone,933.073,356.184,160.0,120.0,negative strong,1186,9.0,,,1,2145
31078,Easy to use/uncomplicated,755.472,53.4722,160.0,120.0,positive strong,1186,15.0,,18:05:43,1,2145
31061,Stay awake for as long as you want,549.358,549.132,160.0,120.0,ambivalent,1186,14.0,,18:04:32,1,2145
31056,Sleep when you want,327.812,468.076,160.0,120.0,positive strong,1186,13.0,,18:04:47,1,2145
31044,Might not be legal,1235.5,671.944,160.0,120.0,negative weak,1186,11.0,,18:12:39,1,2145
31041,Expensive,1212.82,304.392,160.0,120.0,negative strong,1186,10.0,,18:03:04,1,2145
31023,Easy to dispose/get rid of,259.988,83.9881,160.0,119.985,positive weak,1186,8.0,,18:01:47,1,2145
31019,Environmentally friendly,19.0,95.4196,160.0,119.985,positive weak,1186,7.0,,18:01:27,1,2145
31015,Easy to install,500.281,162.931,160.0,120.0,positive,1186,6.0,,18:25:03,1,2145
31013,No maintenance,327.066,279.847,160.0,120.0,positive strong,1186,5.0,,,1,2145
31007,No charging,54.9965,305.188,160.0,120.0,positive,1186,4.0,,18:24:56,1,2145
31001,Data misuse/theft,1087.6,63.9549,160.0,120.0,negative strong,1186,3.0,,18:00:17,1,2145
30997,Hacking,910.281,189.378,156.997,117.24,negative strong,1186,2.0,,,1,2145
30979,technological implant,632.972,346.948,160.0,120.0,neutral,1186,1.0, ,,1,2145
