id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31658,31694,31704,Dashed-Weak,1224,0,uni,22:19:10,2182
31657,31691,31694,Solid-Weak,1224,0,none,22:18:27,2182
31656,31690,31691,Solid-Weak,1224,0,uni,22:18:13,2182
31654,31688,31689,Solid-Weak,1224,0,none,22:17:52,2182
31653,31706,31708,Dashed-Weak,1224,0,uni,22:16:13,2182
31652,31705,31706,Solid-Weak,1224,0,none,22:15:42,2182
31651,31683,31685,Solid-Weak,1224,0,uni,22:14:54,2182
31650,31683,31685,Solid-Weak,1224,0,none,22:14:41,2182
31649,31683,31685,Solid-Weak,1224,0,none,22:14:30,2182
31639,31683,31687,Solid-Weak,1224,0,uni,22:13:51,2182
31633,31683,31687,Solid-Weak,1224,0,none,22:13:05,2182
31628,31683,31687,Solid-Weak,1224,0,none,22:12:54,2182
31623,31710,31714,Dashed-Weak,1224,0,uni,22:11:55,2182
31622,31698,31700,Dashed-Weak,1224,0,uni,22:11:30,2182
31620,31697,31698,Dashed-Weak,1224,0,uni,22:11:09,2182
31615,31676,31688,Solid-Weak,1224,0,none,22:09:04,2182
31613,31676,31690,Solid-Weak,1224,0,none,22:08:56,2182
31611,31676,31710,Solid-Weak,1224,0,none,22:08:45,2182
31610,31676,31702,Solid-Weak,1224,0,none,22:08:37,2182
31609,31676,31696,Solid-Weak,1224,0,none,22:08:34,2182
31608,31676,31697,Solid-Weak,1224,0,none,22:08:29,2182
31607,31676,31695,Dashed-Weak,1224,0,none,22:12:28,2182
31606,31676,31683,Solid-Weak,1224,0,none,22:08:15,2182
31605,31676,31705,Solid-Weak,1224,0,none,22:08:06,2182
