id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31603,concerns re hacking,1943.33,843.333,160.0,120.0,negative strong,1216,22.0,,20:52:15,1,2174
31600,we don't know the policies for privacy,1756.33,603.333,160.0,120.0,negative strong,1216,21.0,,20:51:57,1,2174
31596,increased productivity/efficiecy,1421.67,161.333,160.0,120.0,ambivalent,1216,20.0,,20:43:36,1,2174
31595,exploitable by employers,1584.97,480.286,160.0,120.0,negative strong,1216,19.0,,20:43:21,1,2174
31593,coercion to get the impant,1529.67,756.661,160.0,120.0,negative strong,1216,18.0,"even if the implant isn;t officially compulsory, the applications and increased productivity will almost certainly lead to huge social and economic pressure to get one",20:43:00,1,2174
31592,Social inequality,1262.0,831.667,160.0,120.0,negative strong,1216,17.0,,20:41:46,1,2174
31589,access,931.75,738.75,160.0,120.0,neutral,1216,15.0,,,1,2174
31582,cost,606.984,586.5,160.0,120.0,ambivalent,1216,13.0,,,1,2174
31584,People may have to pay to access,325.729,714.005,177.995,132.995,negative strong,1216,14.0,,20:37:59,1,2174
31578,could be used to treat sleep disorders,297.5,17.0,160.0,120.0,positive strong,1216,12.0,,20:35:31,1,2174
31577,self repairing,40.25,99.0,160.0,120.0,positive strong,1216,11.0,,,1,2174
31576,biodegradable,22.0,379.98,115.312,85.9961,positive strong,1216,10.0,,,1,2174
31575,sustainable to create,80.4805,212.5,160.0,120.0,positive strong,1216,9.0,,,1,2174
31572,controls sleep,519.0,104.0,160.0,120.0,ambivalent,1216,7.0,,,1,2174
31571,affect soldier's behaviour,1089.0,20.0,160.0,120.0,negative strong,1216,6.0,,20:32:47,1,2174
31570,Military applications,909.995,28.9792,160.0,120.0,negative,1216,5.0,,,1,2174
31569,application,980.0,171.979,160.0,120.0,neutral,1216,4.0,,,1,2174
31568,privacy,1030.99,393.984,160.0,120.0,neutral,1216,3.0,,,1,2174
31567,Sustainability,189.984,404.0,160.0,120.0,neutral,1216,2.0,,,1,2174
31566,technological implant,618.0,354.98,160.0,120.0,neutral,1216,1.0, ,,1,2174
