id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31503,31596,31595,Solid-Strong,1216,0,uni,20:53:52,2174
31533,31589,31600,Dashed-Weak,1216,0,none,20:53:34,2174
31532,31600,31603,Solid-Strong,1216,0,uni,20:52:40,2174
31531,31568,31603,Dashed-Strong,1216,0,none,20:52:30,2174
31530,31568,31600,Dashed-Strong,1216,0,none,20:52:24,2174
31517,31572,31595,Solid-Strong,1216,0,uni,20:46:25,2174
31514,31569,31572,Solid,1216,0,none,20:46:10,2174
31510,31568,31595,Dashed-Weak,1216,0,none,20:46:00,2174
31508,31595,31592,Solid,1216,0,uni,20:45:49,2174
31507,31593,31592,Solid,1216,0,uni,20:45:37,2174
31506,31595,31593,Solid-Strong,1216,0,uni,20:45:28,2174
31505,31584,31592,Solid-Strong,1216,0,uni,20:45:08,2174
31504,31595,31567,Dashed-Weak,1216,0,uni,20:44:51,2174
31502,31569,31595,Solid-Weak,1216,0,none,20:44:33,2174
31501,31596,31570,Solid-Weak,1216,0,uni,20:44:22,2174
31500,31569,31596,Solid-Weak,1216,0,none,20:44:11,2174
31499,31578,31589,Dashed-Weak,1216,0,none,20:41:19,2174
31498,31584,31589,Dashed,1216,0,uni,20:40:46,2174
31497,31566,31589,Solid,1216,0,none,20:40:13,2174
31496,31584,31578,Dashed,1216,0,uni,20:39:26,2174
31495,31567,31582,Dashed-Weak,1216,0,none,20:38:57,2174
31494,31566,31582,Solid,1216,0,none,20:38:27,2174
31493,31582,31584,Solid-Strong,1216,0,uni,20:38:17,2174
31492,31575,31576,Solid-Weak,1216,0,uni,20:36:41,2174
31491,31566,31569,Solid,1216,0,none,20:36:14,2174
31490,31566,31572,Solid,1216,0,none,20:36:08,2174
31489,31567,31577,Solid-Weak,1216,0,none,20:35:56,2174
31488,31567,31575,Solid-Weak,1216,0,none,20:35:55,2174
31487,31567,31576,Solid-Weak,1216,0,none,20:35:52,2174
31486,31572,31578,Solid-Weak,1216,0,uni,20:35:40,2174
31485,31568,31569,Solid-Weak,1216,0,none,20:33:17,2174
31484,31566,31568,Solid-Weak,1216,0,none,20:33:16,2174
31483,31566,31567,Solid-Weak,1216,0,none,20:33:13,2174
31482,31566,31569,Solid-Weak,1216,0,none,20:33:10,2174
31481,31569,31570,Solid,1216,0,none,20:36:18,2174
31480,31570,31571,Solid-Weak,1216,0,none,20:32:49,2174
