id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30702,30733,30737,Solid,1171,0,none,17:59:51,2129
30693,30902,30971,Solid-Weak,1171,0,none,17:59:11,2129
30658,30813,30955,Solid-Weak,1171,0,none,17:57:29,2129
30647,30902,30925,Solid-Weak,1171,0,none,17:56:57,2129
30600,30680,30902,Solid,1171,0,none,17:59:42,2129
30598,30902,30904,Solid-Weak,1171,0,none,17:55:05,2129
30531,30753,30846,Solid-Weak,1171,0,none,17:50:50,2129
30527,30821,30838,Solid-Weak,1171,0,none,17:50:30,2129
30526,30821,30834,Solid-Weak,1171,0,none,17:50:28,2129
30518,30813,30821,Solid-Weak,1171,0,none,17:49:49,2129
30517,30680,30813,Solid-Weak,1171,0,none,17:49:28,2129
30515,30718,30813,Solid,1171,0,none,17:59:30,2129
30511,30753,30805,Solid,1171,0,none,17:59:36,2129
30496,30753,30760,Solid-Weak,1171,0,none,17:47:39,2129
30495,30753,30779,Solid-Weak,1171,0,none,17:47:37,2129
30493,30753,30774,Solid-Weak,1171,0,none,17:47:35,2129
30480,30680,30733,Solid-Weak,1171,0,none,17:47:03,2129
30479,30733,30749,Solid-Weak,1171,0,none,17:47:01,2129
30478,30737,30749,Solid-Weak,1171,0,none,17:47:00,2129
30477,30733,30749,Solid-Weak,1171,0,none,17:46:57,2129
30476,30733,30737,Solid-Weak,1171,0,none,17:46:56,2129
30475,30680,30753,Solid-Weak,1171,0,none,17:46:54,2129
30455,30718,30721,Solid-Weak,1171,0,none,17:44:45,2129
30454,30718,30719,Solid-Weak,1171,0,none,17:44:43,2129
30446,30691,30699,Solid-Weak,1171,0,none,17:43:56,2129
30435,30680,30691,Solid-Weak,1171,0,none,17:43:01,2129
