id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
32927,class dividing,16.0,291.667,160.0,120.0,negative,1272,27.0,,,1,2230
32857,side effects,55.3333,110.111,160.0,120.0,negative,1272,26.0,,,1,2230
32856,painful,179.444,30.8819,160.0,120.0,negative,1272,25.0,,22:10:04,1,2230
32855,scary,321.111,98.8889,160.0,120.0,negative strong,1272,24.0,,,1,2230
32732,coercion,177.778,478.333,160.0,120.0,negative,1272,23.0,,,1,2230
32731,discrimination,160.111,360.444,160.0,120.0,negative,1272,22.0,,,1,2230
32730,employers,289.66,290.222,160.0,120.0,negative,1272,20.0,,21:09:36,1,2230
32729,sexual criminals,166.889,212.993,160.0,120.0,negative,1272,19.0,,,1,2230
32728,risk of abuse,357.889,201.0,160.0,120.0,negative strong,1272,18.0,,21:44:07,1,2230
32727,less fatigue,556.0,91.9931,160.0,120.0,positive strong,1272,17.0,,21:07:08,1,2230
32726,fewer accidents,426.889,26.6667,160.0,120.0,positive,1272,16.0,,21:07:17,1,2230
32725,possible accidents,384.333,512.222,160.0,120.0,negative,1272,15.0,,,1,2230
32724,identity theft,786.667,527.889,160.0,120.0,negative,1272,14.0,,,1,2230
32723,data breach,616.333,492.556,160.0,120.0,negative,1272,13.0,,,1,2230
32722,control of implant,387.889,396.333,160.0,120.0,negative,1272,12.0,,21:01:55,1,2230
32721,hacking,568.444,389.333,160.0,120.0,negative,1272,11.0,,21:00:14,1,2230
32720,privacy fears,526.222,286.333,160.0,120.0,negative strong,1272,10.0,,21:13:00,1,2230
32719,improve sleep,717.0,32.0,160.0,120.0,positive strong,1272,9.0,,,1,2230
32652,missions,749.0,407.0,160.0,120.0,positive,1272,8.0,,,1,2230
32651,parties,950.0,426.0,160.0,120.0,positive,1272,7.0,,,1,2230
32650,study time,930.0,323.0,160.0,120.0,positive,1272,6.0,,20:50:55,1,2230
32649,stay awake longer,748.0,308.0,160.0,120.0,positive strong,1272,5.0,,,1,2230
32648,no side effects,898.0,206.0,160.0,120.0,positive,1272,4.0,,20:47:47,1,2230
32647,no medication needed,908.0,86.0,158.0,118.0,positive,1272,3.0,,20:59:19,1,2230
32646,helps with sleep disorders,729.0,153.0,160.0,120.0,positive strong,1272,2.0,,20:44:38,1,2230
32645,technological implant,565.0,193.0,160.0,120.0,ambivalent,1272,1.0,,,1,2230
