id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30459,30614,30734,Solid-Weak,1161,0,none,17:45:10,2118
30452,30614,30725,Solid-Weak,1161,0,none,17:44:34,2118
30448,30614,30716,Solid-Weak,1161,0,none,17:44:18,2118
30430,30632,30674,Solid-Weak,1161,0,uni,17:42:37,2118
30427,30623,30624,Solid-Weak,1161,0,uni,17:42:23,2118
30419,30632,30634,Solid-Weak,1161,0,uni,17:42:47,2118
30417,30627,30630,Solid-Weak,1161,0,none,17:41:29,2118
30415,30614,30637,Solid-Weak,1161,0,none,17:41:19,2118
30414,30623,30644,Solid-Weak,1161,0,none,17:41:17,2118
30412,30623,30643,Solid-Weak,1161,0,none,17:41:11,2118
30406,30614,30640,Solid-Weak,1161,0,none,17:40:40,2118
30405,30614,30628,Solid-Weak,1161,0,none,17:40:35,2118
30404,30614,30623,Solid-Weak,1161,0,none,17:40:33,2118
30403,30614,30624,Solid-Weak,1161,0,none,17:40:31,2118
30401,30614,30626,Solid-Weak,1161,0,none,17:40:29,2118
30400,30614,30632,Solid-Weak,1161,0,none,17:40:26,2118
30399,30614,30627,Solid-Weak,1161,0,none,17:40:24,2118
30398,30614,30620,Solid-Weak,1161,0,none,17:40:22,2118
30395,30614,30645,Solid-Weak,1161,0,none,17:40:10,2118
30392,30623,30644,Solid-Weak,1161,0,none,17:40:00,2118
