id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31754,31790,31795,Solid-Weak,1229,0,none,11:13:28,2187
31753,31787,31795,Solid-Weak,1229,0,none,11:13:26,2187
31752,31793,31794,Dashed-Weak,1229,0,none,11:11:06,2187
31751,31792,31794,Solid-Weak,1229,0,none,11:10:48,2187
31750,31792,31793,Solid-Weak,1229,0,none,11:10:46,2187
31749,31778,31792,Solid-Weak,1229,0,none,11:10:43,2187
31748,31787,31790,Solid-Weak,1229,0,none,11:09:37,2187
31747,31787,31788,Solid-Weak,1229,0,none,11:09:35,2187
31746,31785,31786,Solid-Weak,1229,0,none,11:09:33,2187
31745,31780,31791,Solid-Weak,1229,0,none,11:09:28,2187
31744,31784,31791,Solid-Weak,1229,0,none,11:09:25,2187
31743,31783,31791,Solid-Weak,1229,0,none,11:09:16,2187
31742,31782,31791,Solid-Weak,1229,0,none,11:09:14,2187
31741,31778,31787,Solid-Weak,1229,0,none,11:09:10,2187
31740,31778,31791,Solid-Weak,1229,0,none,11:09:08,2187
31739,31779,31780,Solid-Weak,1229,0,none,11:08:06,2187
31738,31779,31781,Solid-Weak,1229,0,none,11:08:04,2187
31737,31779,31781,Solid-Weak,1229,0,none,11:08:02,2187
31736,31778,31779,Solid-Weak,1229,0,none,11:07:59,2187
31735,31778,31789,Solid-Weak,1229,0,none,11:07:58,2187
31734,31778,31785,Solid-Weak,1229,0,none,11:07:55,2187
