id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30662,Helps econimists,798.0,232.0,160.0,120.0,positive,1158,10.0,,,1,2114
30656,Helps military,474.0,20.0,160.0,120.0,ambivalent,1158,9.0,,17:41:07,1,2114
30646,Less social skills,213.0,468.0,160.0,120.0,negative,1158,8.0,,,1,2114
30636,More closed off,186.0,126.0,160.0,120.0,negative,1158,7.0,,,1,2114
30615,Easy to repair,710.0,67.0,160.0,120.0,positive,1158,6.0,,,1,2114
30610,More irritable,253.0,295.0,160.0,120.0,negative weak,1158,5.0,,,1,2114
30605,Less sleep - more fatigue after,509.0,340.0,160.0,120.0,negative,1158,4.0,,,1,2114
30602,Can go to more parties/study more,676.0,595.0,160.0,120.0,positive weak,1158,3.0,,,1,2114
30601,Can do tasks with less sleep,746.0,341.0,160.0,120.0,positive,1158,2.0,,,1,2114
30600,Technological Implant,432.0,147.0,160.0,120.0,neutral,1158,1.0,,17:40:47,1,2114
