id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30411,30600,30662,Solid,1158,0,none,17:41:13,2114
30402,30600,30656,Solid,1158,0,none,17:40:32,2114
30390,30610,30646,Solid,1158,0,none,17:39:48,2114
30389,30636,30646,Solid-Weak,1158,0,none,17:39:43,2114
30387,30610,30636,Solid,1158,0,none,17:39:27,2114
30385,30600,30636,Dashed,1158,0,none,17:39:22,2114
30373,30600,30615,Solid,1158,0,none,17:37:24,2114
30372,30605,30610,Solid,1158,0,none,17:36:59,2114
30369,30602,30605,Dashed,1158,0,none,17:36:34,2114
30368,30601,30605,Dashed,1158,0,none,17:36:27,2114
30367,30601,30602,Solid-Strong,1158,0,none,17:35:55,2114
30366,30600,30601,Solid-Weak,1158,0,none,17:34:08,2114
