id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31204,31312,31326,Solid-Weak,1201,0,none,18:44:01,2160
31203,31321,31323,Solid-Weak,1201,0,uni,18:43:52,2160
31202,31312,31321,Solid,1201,0,none,18:43:45,2160
31200,31312,31322,Solid-Strong,1201,0,none,18:43:35,2160
31199,31312,31323,Solid,1201,0,none,18:43:29,2160
31198,31312,31324,Solid-Weak,1201,0,none,18:43:23,2160
31197,31318,31319,Solid-Weak,1201,0,uni,18:43:11,2160
31196,31312,31318,Dashed-Weak,1201,0,uni,18:43:08,2160
31195,31314,31315,Solid-Weak,1201,0,uni,18:42:58,2160
31194,31312,31314,Dashed-Weak,1201,0,uni,18:42:52,2160
31193,31312,31317,Dashed-Weak,1201,0,uni,18:42:40,2160
31192,31312,31317,Dashed-Weak,1201,0,none,18:42:31,2160
