id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30450,30693,30720,Solid-Weak,1159,0,none,17:44:31,2115
30447,30693,30715,Solid-Weak,1159,0,none,17:44:13,2115
30441,30693,30703,Solid-Weak,1159,0,none,17:43:40,2115
30437,30604,30693,Solid-Weak,1159,0,none,17:43:05,2115
30436,30604,30693,Solid-Weak,1159,0,none,17:43:03,2115
30428,30650,30681,Solid-Weak,1159,0,none,17:42:23,2115
30416,30625,30667,Solid-Weak,1159,0,none,17:41:28,2115
30407,30650,30659,Solid-Weak,1159,0,none,17:40:44,2115
30397,30650,30655,Solid-Weak,1159,0,none,17:40:20,2115
30393,30604,30650,Solid-Weak,1159,0,none,17:40:02,2115
30386,30625,30633,Solid-Weak,1159,0,none,17:39:19,2115
30384,30625,30629,Solid-Weak,1159,0,none,17:39:02,2115
30383,30604,30625,Solid-Weak,1159,0,none,17:38:37,2115
30378,30604,30622,Dashed-Weak,1159,0,none,17:38:24,2115
30374,30604,30612,Dashed-Weak,1159,0,none,17:37:32,2115
30371,30604,30609,Dashed-Weak,1159,0,none,17:36:51,2115
