id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30928,31080,31149,Solid-Weak,1191,0,none,18:14:01,2150
30923,31080,31145,Solid-Weak,1191,0,none,18:13:28,2150
30916,31074,31142,Solid-Weak,1191,0,none,18:12:43,2150
30904,31130,31089,Solid-Strong,1191,0,uni,18:10:48,2150
30900,31089,31118,Solid,1191,0,none,18:10:14,2150
30896,31126,31089,Solid,1191,0,uni,18:10:07,2150
30885,31118,31089,Solid-Weak,1191,0,uni,18:09:11,2150
30882,31089,31118,Solid-Weak,1191,0,none,18:09:03,2150
30874,31077,31110,Solid-Weak,1191,0,none,18:08:33,2150
30865,31099,31102,Solid-Weak,1191,0,none,18:07:54,2150
30857,31077,31099,Solid-Weak,1191,0,none,18:07:22,2150
30854,31074,31080,Solid-Weak,1191,0,none,18:06:58,2150
30850,31089,31074,Dashed-Weak,1191,0,uni,18:06:51,2150
30847,31077,31074,Solid-Strong,1191,0,uni,18:06:39,2150
