id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31733,31773,31775,Solid-Weak,1228,0,none,00:54:01,2186
31732,31769,31773,Solid-Weak,1228,0,none,00:53:55,2186
31731,31768,31773,Solid-Weak,1228,0,none,00:53:52,2186
31730,31773,31774,Solid-Weak,1228,0,none,00:53:46,2186
31729,31773,31774,Solid-Weak,1228,0,none,00:53:42,2186
31728,31771,31772,Solid-Weak,1228,0,none,00:53:32,2186
31727,31771,31769,Solid-Weak,1228,0,uni,00:53:25,2186
31726,31771,31768,Solid-Weak,1228,0,uni,00:53:12,2186
31725,31771,31774,Solid-Weak,1228,0,uni,00:52:57,2186
31724,31772,31774,Solid-Weak,1228,0,none,00:52:35,2186
31722,31761,31767,Solid-Weak,1228,0,none,00:51:45,2186
31721,31761,31769,Solid-Weak,1228,0,none,00:51:36,2186
31720,31761,31771,Solid-Weak,1228,0,none,00:51:11,2186
31719,31761,31772,Solid-Weak,1228,0,none,00:51:04,2186
31718,31761,31773,Solid-Weak,1228,0,none,00:51:22,2186
31717,31775,31776,Solid-Weak,1228,0,none,00:50:51,2186
31716,31761,31775,Solid-Weak,1228,0,none,00:50:40,2186
31715,31764,31776,Solid-Weak,1228,0,uni,00:50:35,2186
31714,31763,31765,Solid-Weak,1228,0,uni,00:50:12,2186
31713,31763,31764,Solid-Weak,1228,0,uni,00:49:55,2186
31712,31761,31763,Solid-Weak,1228,0,none,00:51:31,2186
31711,31761,31764,Solid-Weak,1228,0,uni,00:49:42,2186
31710,31762,31766,Solid-Weak,1228,0,none,00:49:25,2186
31709,31761,31762,Solid-Weak,1228,0,none,00:51:34,2186
