id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30607,30801,30856,Dashed-Weak,1175,0,none,18:14:54,2133
30933,31146,31154,Solid-Weak,1175,0,none,18:14:24,2133
30926,30792,31146,Solid-Weak,1175,0,none,18:13:47,2133
30924,30768,31146,Solid-Weak,1175,0,none,18:13:40,2133
30908,31135,30885,Solid-Weak,1175,0,uni,18:11:40,2133
30826,30768,30900,Dashed-Weak,1175,0,none,18:05:23,2133
30751,30770,30801,Solid-Weak,1175,0,none,18:02:11,2133
30586,30830,30798,Solid-Weak,1175,0,uni,18:00:35,2133
30689,30830,30900,Dashed-Weak,1175,0,none,17:59:08,2133
30687,30897,30900,Dashed-Weak,1175,0,none,17:59:12,2133
30601,30801,30768,Solid,1175,0,uni,17:59:57,2133
30596,30806,30768,Solid,1175,0,uni,17:59:50,2133
30593,30885,30768,Dashed-Weak,1175,0,uni,17:59:30,2133
30590,30889,30768,Dashed-Weak,1175,0,uni,17:59:23,2133
30582,30798,30768,Solid-Weak,1175,0,uni,17:56:26,2133
30492,30770,30768,Solid-Strong,1175,0,uni,18:00:04,2133
30618,30792,30770,Solid,1175,0,uni,18:00:12,2133
30621,30792,30819,Solid-Weak,1175,0,uni,18:00:20,2133
30616,30806,30885,Solid-Weak,1175,0,none,17:55:38,2133
30612,30879,30880,Dashed-Weak,1175,0,none,18:14:41,2133
30610,30806,30879,Dashed-Weak,1175,0,none,18:14:38,2133
30608,30840,30856,Solid-Weak,1175,0,none,17:55:21,2133
30605,30801,30840,Solid-Weak,1175,0,none,17:55:14,2133
30588,30830,30897,Dashed-Weak,1175,0,none,17:59:16,2133
30584,30798,30823,Solid-Weak,1175,0,uni,18:00:28,2133
