id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31450,no waste,548.0,20.0,160.0,120.0,positive weak,1206,20.0,,,1,2165
31449,sustainable,378.0,42.0,160.0,120.0,positive,1206,19.0,,,1,2165
31448,environment,527.0,140.0,160.0,120.0,positive,1206,18.0,,19:39:37,1,2165
31443,could cause bigger divides between those who can afford it and those who can't,66.0,556.0,146.0,109.0,negative weak,1206,17.0,,19:38:59,1,2165
31433,employers could be biased,333.0,589.0,160.0,120.0,negative weak,1206,16.0,,,1,2165
31432,peer pressure to get one,438.0,484.0,160.0,120.0,negative weak,1206,15.0,,,1,2165
31430,feel more awake,91.0,309.0,160.0,120.0,positive weak,1206,14.0,,,1,2165
31428,no more insomnia,106.0,63.0,160.0,120.0,positive weak,1206,13.0,,,1,2165
31424,hackers,989.0,577.0,160.0,120.0,negative weak,1206,12.0,,19:35:39,1,2165
31421,potential health problems,1126.0,488.0,160.0,120.0,negative weak,1206,11.0,,19:35:26,1,2165
31419,not fully researched,982.0,392.0,160.0,120.0,negative weak,1206,10.0,,,1,2165
31416,less feeling tired,1096.0,209.0,160.0,120.0,positive weak,1206,9.0,,19:34:41,1,2165
31415,concentration at work,994.0,33.0,160.0,120.0,positive weak,1206,8.0,,,1,2165
31412,more energy for leisure activities,729.0,27.0,160.0,120.0,positive weak,1206,7.0,,19:33:38,1,2165
31409,efficient lifestye,841.0,153.0,160.0,120.0,positive,1206,6.0,,19:33:34,1,2165
31404,potential for divide,188.0,436.0,160.0,120.0,negative,1206,5.0,,,1,2165
31393,helps with sleep problems,224.0,189.0,160.0,120.0,positive,1206,3.0,,,1,2165
31390,scary,817.0,476.0,160.0,120.0,negative,1206,2.0,,19:28:20,1,2165
31385,technological implant,517.0,306.0,160.0,120.0,neutral,1206,1.0,,19:32:18,1,2165
