id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31357,31448,31449,Solid-Weak,1206,0,none,19:40:09,2165
31356,31385,31448,Solid-Weak,1206,0,none,19:40:01,2165
31354,31448,31450,Solid-Weak,1206,0,none,19:39:58,2165
31351,31393,31428,Solid-Weak,1206,0,none,19:39:10,2165
31349,31393,31430,Solid-Weak,1206,0,none,19:39:09,2165
31348,31404,31443,Solid-Weak,1206,0,none,19:39:06,2165
31347,31404,31433,Solid-Weak,1206,0,none,19:39:05,2165
31346,31404,31432,Solid-Weak,1206,0,none,19:39:03,2165
31334,31390,31424,Solid-Weak,1206,0,none,19:35:49,2165
31332,31390,31421,Solid-Weak,1206,0,none,19:35:47,2165
31331,31390,31419,Solid-Weak,1206,0,none,19:35:45,2165
31327,31409,31416,Solid-Weak,1206,0,none,19:34:49,2165
31325,31409,31415,Solid-Weak,1206,0,none,19:34:47,2165
31324,31409,31412,Solid-Weak,1206,0,none,19:34:46,2165
31322,31385,31404,Solid-Weak,1206,0,none,19:32:26,2165
31321,31385,31390,Solid-Weak,1206,0,none,19:32:25,2165
31320,31385,31409,Solid-Weak,1206,0,none,19:32:23,2165
31319,31385,31393,Solid-Weak,1206,0,none,19:32:20,2165
