id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30916,Could people be lifted from poverty by working two jobs if they didn't need sleep,137.0,133.0,160.0,120.0,positive,1098,15.0,,,1,2126
30862,Government involvement?,329.0,535.0,160.0,120.0,ambivalent,1098,13.0,,,1,2126
30807,potentials for misuse,513.0,449.0,160.0,120.0,negative,1098,12.0,,,1,2126
30789,What controls would there be over the company creates them if rolled out largely,245.0,418.0,160.0,120.0,neutral,1098,11.0,,,1,2126
30775,Unknowns of this technology if widely used,500.0,192.0,160.0,120.0,ambivalent,1098,10.0,,,1,2126
30762,At what cost?,274.0,98.0,160.0,120.0,negative strong,1098,9.0,,,1,2126
30759,economic advancement,202.0,196.0,160.0,120.0,positive,1098,8.0,,,1,2126
30740,I would be judged if I used it by some,647.0,514.0,160.0,120.0,negative strong,1098,7.0,,,1,2126
30713,people are fearful of new tech,753.0,426.0,160.0,120.0,negative weak,1098,6.0,,,1,2126
30701,Healthcare and Military use case are proven,528.0,28.0,160.0,120.0,positive strong,1098,5.0,,,1,2126
30696,societal improvement,821.0,290.0,160.0,120.0,positive,1098,4.0,,,1,2126
30692,There are already use cases that benefit,644.0,114.0,160.0,120.0,positive,1098,3.0,,,1,2126
30658,technological implant,377.0,272.0,160.0,120.0,neutral,1098,1.0, ,,1,2126
