id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31311,Humans Going Too Far?,116.0,481.0,160.0,120.0,neutral,1194,22.0,,,1,2153
31306,Immorality ,176.0,360.0,160.0,120.0,ambivalent,1194,21.0,,18:38:42,1,2153
31279,Work Performance,745.0,23.0,160.0,120.0,positive weak,1194,11.0,,18:32:06,1,2153
31297,Can Others Control You?,724.0,479.0,160.0,120.0,negative strong,1194,20.0,,18:35:30,1,2153
31295,Conspiracy Theories,520.0,491.0,160.0,120.0,negative,1194,19.0,,18:35:05,1,2153
31292,Hacking?,678.0,354.0,160.0,120.0,negative strong,1194,18.0,,18:35:07,1,2153
31290,What are the potential side effects,538.0,249.0,160.0,120.0,negative,1194,17.0,,18:35:12,1,2153
31289,Is it what it says?,305.0,423.0,160.0,120.0,negative weak,1194,16.0,,18:35:02,1,2153
31288,Dangers,375.0,304.0,160.0,120.0,negative strong,1194,14.0,,18:33:51,1,2153
31282,Health Benefits,667.0,127.0,160.0,120.0,positive strong,1194,13.0,,18:31:59,1,2153
31281,Lifestyle Improvements,737.0,226.0,160.0,120.0,positive weak,1194,12.0,,18:32:11,1,2153
31270,Inexpensive,307.0,20.0,160.0,120.0,positive strong,1194,9.0,,18:29:04,1,2153
31263,Benefits of the Implant,174.0,116.0,160.0,120.0,positive strong,1194,8.0,,18:27:56,1,2153
31247,Low Carbon Footprint,170.0,270.0,160.0,120.0,positive strong,1194,7.0,,18:28:52,1,2153
31245,Low Maintenence,20.0,206.0,160.0,120.0,positive strong,1194,6.0,,18:28:23,1,2153
31244,Self Repairing,30.0,20.0,160.0,120.0,positive strong,1194,5.0,,18:28:15,1,2153
31243,Regural Sleeping Pattern,530.0,20.0,160.0,120.0,positive weak,1194,4.0,,18:32:01,1,2153
31158,Technological Implant,397.0,148.0,160.0,120.0,neutral,1194,1.0,,,1,2153
