id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31506,Abused use,480.0,555.455,160.0,120.0,negative,1205,24.0,Military could abuse the use of it and work soliders too hard. Or employers may do the same,19:48:52,1,2164
31487,technology future,96.3636,143.636,160.0,120.0,ambivalent,1205,23.0,"Could this technology lead to negative inventive technology that serves people wrongly, Maybe Goes too far eventually. ",19:47:05,1,2164
31473,life,1104.0,354.364,160.0,120.0,positive,1205,21.0,Live again feeling of getting your life back,19:44:37,1,2164
31470,Health,1074.55,153.636,160.0,120.0,positive strong,1205,20.0,Where the is negative effects on health. some people will find positive effects on there health. Finally being themselves again feeling revitalised after a sleep and can go about daily life with ease without the struggle. may reduce depression. may also reduce the negative effects of all other drugs,19:43:26,1,2164
31429,Health,300.818,513.352,160.0,120.0,negative weak,1205,15.0,,19:38:38,1,2164
31425,Anxiety,527.992,445.17,160.0,120.0,neutral,1205,14.0,People may worry when they have or don't have this implant switched on and using. may rely on it too much and take there mind elsewhere with worry,19:37:11,1,2164
31413,Exclusion,299.091,80.0,160.0,120.0,negative weak,1205,13.0,People may be excluded but may need the technology. A divide in the device might become a must have gizmo. those with more money afford that don't necessary need. Those that need but cant afford or get hold of,19:34:55,1,2164
31406,hacker control,100.0,308.818,160.0,120.0,negative strong,1205,12.0,,,1,2164
31401,Privacy,288.182,365.455,160.0,120.0,negative,1205,11.0,Fears of data being breached ,19:31:28,1,2164
31368,technological implant,596.983,246.974,228.168,162.969,ambivalent,1205,1.0,,19:17:11,1,2164
31397,Party goers,907.273,439.091,160.0,120.0,ambivalent,1205,10.0,Not sure if this is good or bad. Depends on the person,19:30:23,1,2164
31392,reduce accidents,593.716,131.719,160.0,120.0,neutral,1205,9.0,,19:29:00,1,2164
31388,unkown dangers,272.727,189.182,160.0,120.0,negative strong,1205,7.0,New technology new unknown malfunctions could cause injury or worse case scenario death,19:26:36,1,2164
31383,sleep deprivation reduce,949.091,266.364,160.0,120.0,positive strong,1205,6.0,,19:24:21,1,2164
31381,app on phone ,782.449,100.082,160.0,120.0,positive strong,1205,5.0,the ease of a button to send you to sleep no need for drugs,19:21:26,1,2164
31379,No drugs,1029.81,41.179,160.0,120.0,positive,1205,4.0,Drugs can cause addiction and react differently with people so the implant would take this strain away,19:20:20,1,2164
31376,Wake up when you like,856.983,21.0,160.0,120.0,positive strong,1205,3.0,,,1,2164
31375,sleep when you want,627.989,21.0,160.0,120.0,positive strong,1205,2.0,,,1,2164
