id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31291,31363,31378,Solid-Weak,1204,0,none,19:22:06,2163
31287,31371,31380,Solid-Weak,1204,0,none,19:20:35,2163
31286,31370,31380,Solid-Weak,1204,0,none,19:20:30,2163
31285,31372,31380,Solid-Weak,1204,0,none,19:20:25,2163
31282,31366,31378,Solid-Weak,1204,0,none,19:19:35,2163
31280,31373,31378,Solid-Weak,1204,0,none,19:19:31,2163
31277,31363,31365,Solid-Weak,1204,0,none,19:18:44,2163
31276,31366,31373,Solid-Weak,1204,0,none,19:18:40,2163
31275,31365,31373,Solid-Weak,1204,0,none,19:18:31,2163
31274,31365,31366,Solid-Weak,1204,0,none,19:18:29,2163
31273,31366,31370,Solid-Weak,1204,0,none,19:18:26,2163
31272,31371,31372,Solid-Weak,1204,0,none,19:18:20,2163
31271,31370,31371,Solid-Weak,1204,0,none,19:18:18,2163
31270,31370,31372,Solid-Weak,1204,0,none,19:18:15,2163
31268,31363,31372,Solid-Weak,1204,0,none,19:18:13,2163
31267,31363,31370,Solid-Weak,1204,0,none,19:18:08,2163
