id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31863,Betterment of work force and economy,513.0,429.0,160.0,120.0,positive,1234,10.0,having the chip efficiently working sleep schedules of the working masses would better the economy as a more uniformed workforce would be efficient,12:10:48,1,2192
31862,Moral and decision effects,1151.0,412.0,160.0,120.0,ambivalent,1234,9.0,"The chip could help this due to better sleep but could also have unknown effects on this negatively too. It has been noted there is concerns on the chip effecting troops' decisions in military action, leading to unecessary or excess violence.",14:22:58,1,2192
31855,Health,948.667,168.0,202.0,151.0,ambivalent,1234,2.0,having the chip efficiently working sleep schedules of the working masses would better the economy as a more uniformed workforce would be efficient,14:26:50,1,2192
34583,Technological Implant,601.0,20.0,160.0,120.0,neutral,1234,17.0,The technological implant is the topic for discussion today. The sub-topic below help divide topics as such about the implant.,14:24:01,1,2192
31869,Technological breach/hackers/biotech medical warfare,441.0,326.0,160.0,120.0,negative strong,1234,16.0,hackers could hack the chip and commence biotech medical warfare,12:08:46,1,2192
31868,Bypass of human rights,335.0,516.0,160.0,120.0,negative,1234,15.0,Having an implant in you that controls autonomy bypasses some human rights,14:22:04,1,2192
31867,Lack of bodily autonomy,239.0,287.0,160.0,120.0,negative strong,1234,14.0,the chip overtakes bodily control and lacks a person of their bodily autonomy,12:09:25,1,2192
31866,Personal anxiety condition,20.0,280.0,160.0,120.0,negative,1234,13.0,personally my anxiety cannot handle huge changes such as a chip implant,12:09:41,1,2192
31865,Feeling of togetherness,709.0,330.0,160.0,120.0,positive,1234,12.0,Having the implant impliment a good routine and structure to numerous people could lead to a feeling of togetherness in having the implant and discussion about the implant could boost morale amongst populations and groups.,14:25:27,1,2192
31864,Have and have-not classism,661.0,503.0,160.0,120.0,negative,1234,11.0,having the chip and not having the chip could cause a divide and othering that isn't good for society,12:11:32,1,2192
31861,Mental Health Effects,1163.0,285.0,160.0,120.0,ambivalent,1234,8.0,The chip could help this due to better sleep but could also have unknown effects on this negatively too.,12:12:35,1,2192
31860,Cognitive Effect,1177.0,145.0,160.0,120.0,ambivalent,1234,7.0,The chip could help this due to better sleep but could also have unknown effects on this negatively too.,12:12:37,1,2192
31859,Military use,894.0,418.0,160.0,120.0,ambivalent,1234,6.0,military use of the chip can have benefits but also huge risk,14:22:18,1,2192
31858,Effective R&R periods,1127.0,544.0,160.0,120.0,positive,1234,5.0,Effective rest periods are beneficial to most people and systems. the chip can help support a healthier and more effective rest period,14:23:29,1,2192
31857,Personal reasonings,96.0,144.0,191.0,142.75,ambivalent,1234,4.0,Personal Reasonings is the first sub-topic of discussion and bring both pros and cons into the field of the tech implant from my personal perspectives as an individual.,14:18:29,1,2192
31856,Socio-political,581.0,156.0,192.641,144.0,ambivalent,1234,3.0,Socio-political aspects is the second sub-topic of discussion and bring both pros and cons into the field of the tech implant,14:24:45,1,2192
