id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
33431,31868,31857,Dashed-Weak,1234,0,none,14:26:22,2192
33429,31866,31857,Dashed-Weak,1234,0,none,14:26:13,2192
33428,31867,31857,Dashed-Weak,1234,0,none,14:26:06,2192
33424,31867,31866,Solid-Weak,1234,0,none,14:25:59,2192
33423,31862,31859,Solid-Weak,1234,0,none,14:25:42,2192
33422,31865,31863,Solid-Weak,1234,0,none,14:25:35,2192
33384,31857,34583,Solid-Weak,1234,0,none,14:16:53,2192
33383,31856,34583,Solid-Weak,1234,0,none,14:16:52,2192
33382,31855,34583,Solid-Weak,1234,0,none,14:16:50,2192
31825,31864,31865,Dashed-Weak,1234,0,none,11:56:35,2192
31824,31859,31860,Solid-Weak,1234,0,none,11:56:26,2192
31823,31859,31861,Solid-Weak,1234,0,none,11:56:24,2192
31822,31858,31859,Solid-Weak,1234,0,none,11:56:23,2192
31821,31859,31862,Solid-Weak,1234,0,none,11:56:21,2192
31820,31867,31869,Solid-Weak,1234,0,none,11:56:06,2192
31819,31857,31866,Solid-Weak,1234,0,none,11:56:03,2192
31818,31867,31868,Solid-Weak,1234,0,none,11:56:01,2192
31817,31857,31867,Solid-Weak,1234,0,none,11:55:59,2192
31816,31856,31868,Solid-Weak,1234,0,none,11:55:56,2192
31815,31856,31869,Solid-Weak,1234,0,none,11:55:54,2192
31814,31856,31863,Solid-Weak,1234,0,none,11:55:51,2192
31813,31856,31859,Solid-Weak,1234,0,none,11:55:49,2192
31812,31856,31864,Solid-Weak,1234,0,none,11:55:45,2192
31811,31856,31865,Solid-Weak,1234,0,none,11:55:41,2192
31810,31855,31858,Solid-Weak,1234,0,none,11:55:39,2192
31809,31855,31862,Solid-Weak,1234,0,none,11:55:35,2192
31808,31855,31861,Solid-Weak,1234,0,none,11:55:33,2192
31807,31855,31860,Solid-Weak,1234,0,none,11:55:31,2192
