id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30950,user control,534.714,-5.0,160.0,120.0,positive strong,1167,33.0,,17:57:19,1,2124
30942,improvement of circadian rhythm ,1447.57,254.429,160.0,120.0,positive weak,1167,31.0,,17:56:26,1,2124
30938,"saves the government money, lower taxes",1438.57,405.714,160.0,120.0,positive weak,1167,30.0,,,1,2124
30929,potential for abuse via never sleeping? could that cause death?,560.143,639.0,160.0,120.0,ambivalent,1167,29.0,,17:55:26,1,2124
30911,scary,232.853,701.0,160.0,120.0,ambivalent,1167,28.0,,17:54:48,1,2124
30907,lack of  testing,361.129,575.848,160.0,120.0,negative weak,1167,27.0,,17:54:28,1,2124
30894,political nightmare?,66.8571,607.571,160.0,120.0,ambivalent,1167,26.0,,17:53:45,1,2124
30888,social divide,26.2679,364.277,160.0,120.0,negative strong,1167,25.0,,,1,2124
30884,have vs have not class system,195.241,434.268,160.0,120.0,negative,1167,24.0,,,1,2124
30870,increased death toll?,20.0,119.984,160.0,120.0,negative strong,1167,23.0,,17:52:37,1,2124
30867,loss of empathy in military,141.991,171.0,160.0,120.0,negative strong,1167,22.0,,,1,2124
30853,effect on school?,216.117,12.2617,160.0,120.0,negative weak,1167,21.0,,,1,2124
30851,limitless partying for teenagers,278.418,224.703,160.0,120.0,negative weak,1167,20.0,,,1,2124
30843,potential for hacking,392.965,79.7031,160.0,120.0,negative strong,1167,19.0,,17:50:41,1,2124
30826,guaranteed naps for people who need them,695.567,495.138,181.987,135.982,positive weak,1167,18.0,,,1,2124
30816,optimised learning curve,906.696,606.411,160.0,120.0,positive strong,1167,17.0,,,1,2124
30811,fewer fatigue induced accidents,1047.71,545.982,160.0,120.0,positive strong,1167,16.0,,,1,2124
30738,increased accomplishment in military,1126.98,433.844,160.0,120.0,positive weak,1167,12.0,,17:45:28,1,2124
30732,lower rate of addiction to sleeping pills,1140.0,306.714,160.0,120.0,positive strong,1167,11.0,,,1,2124
30727,regulation of sleep and wake cycles,1371.1,144.656,160.0,120.0,positive strong,1167,10.0,,,1,2124
30711,fewer and more manageable sleep disorders,1075.84,79.4107,160.0,120.0,positive,1167,8.0,,17:44:20,1,2124
30698,energy efficient,890.143,38.9955,160.0,120.0,positive,1167,7.0,,,1,2124
30685,control via app,703.982,64.0,160.0,120.0,positive weak,1167,5.0,,,1,2124
30676,biodegradable,551.991,151.987,160.0,120.0,positive strong,1167,4.0,,,1,2124
30671,cons,473.951,395.987,160.0,120.0,negative weak,1167,3.0,,17:41:46,1,2124
30670,pros,839.951,200.96,160.0,120.0,positive weak,1167,2.0,,,1,2124
30668,technological implant,633.955,313.978,162.969,121.719,neutral,1167,1.0,,,1,2124
