id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30656,30676,30950,Solid-Weak,1167,0,none,17:57:26,2124
30653,30685,30950,Solid-Weak,1167,0,none,17:57:23,2124
30638,30711,30938,Solid-Weak,1167,0,none,17:56:44,2124
30632,30727,30942,Solid-Weak,1167,0,none,17:56:29,2124
30625,30732,30938,Solid-Weak,1167,0,none,17:56:02,2124
30613,30671,30929,Solid-Weak,1167,0,none,17:55:32,2124
30592,30884,30911,Solid-Weak,1167,0,none,17:54:57,2124
30589,30907,30911,Solid-Weak,1167,0,none,17:54:53,2124
30581,30671,30907,Solid-Weak,1167,0,none,17:54:34,2124
30571,30884,30894,Solid-Weak,1167,0,none,17:54:05,2124
30569,30884,30888,Solid-Weak,1167,0,none,17:54:02,2124
30568,30671,30884,Solid-Weak,1167,0,none,17:53:59,2124
30548,30867,30870,Solid-Weak,1167,0,none,17:53:00,2124
30544,30851,30867,Solid-Weak,1167,0,none,17:52:58,2124
30536,30851,30853,Solid-Weak,1167,0,none,17:51:33,2124
30535,30671,30851,Solid-Weak,1167,0,none,17:51:30,2124
30534,30671,30843,Solid-Weak,1167,0,none,17:51:28,2124
30521,30670,30826,Solid-Weak,1167,0,none,17:50:05,2124
30520,30670,30816,Solid-Weak,1167,0,none,17:50:02,2124
30519,30670,30811,Solid-Weak,1167,0,none,17:49:59,2124
30470,30670,30738,Solid-Weak,1167,0,none,17:46:06,2124
30469,30670,30732,Solid-Weak,1167,0,none,17:46:04,2124
30468,30670,30727,Solid-Weak,1167,0,none,17:46:00,2124
30466,30670,30711,Solid-Weak,1167,0,none,17:45:48,2124
30464,30670,30698,Solid-Weak,1167,0,none,17:45:43,2124
30463,30670,30685,Solid-Weak,1167,0,none,17:45:40,2124
30462,30670,30685,Solid-Weak,1167,0,none,17:45:38,2124
30424,30670,30676,Solid-Weak,1167,0,none,17:42:15,2124
30422,30668,30671,Solid-Weak,1167,0,none,17:42:13,2124
30421,30668,30670,Solid-Weak,1167,0,none,17:42:11,2124
