id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31886,My well-being,288.0,20.0,160.0,120.0,positive weak,1236,17.0,,20:39:09,1,2194
31885,Partner,1076.0,287.0,160.0,120.0,positive,1236,16.0,,20:38:38,1,2194
31884,More expensive,837.0,525.0,160.0,120.0,negative weak,1236,14.0,,20:37:06,1,2194
31883,My performance,130.0,40.0,160.0,120.0,positive,1236,13.0,,20:36:05,1,2194
31882,Sleeping,468.0,33.0,160.0,120.0,positive,1236,12.0,,20:36:07,1,2194
31881,My health conditions,367.0,172.0,160.0,120.0,positive,1236,11.0,,20:36:11,1,2194
31880,Implant price,557.0,514.0,160.0,120.0,ambivalent,1236,9.0,,20:37:10,1,2194
31879,Money,20.0,319.0,160.0,120.0,positive,1236,8.0,,20:36:14,1,2194
31878,Co-workers,1013.0,400.0,160.0,120.0,neutral,1236,6.0,,20:38:40,1,2194
31876,Family,1048.0,148.0,160.0,120.0,negative,1236,4.0,,20:38:45,1,2194
31875,Reactions,810.0,306.0,160.0,120.0,ambivalent,1236,3.0,,20:38:47,1,2194
31874,Impacts on me,268.0,298.0,160.0,120.0,positive strong,1236,2.0,,20:36:20,1,2194
31873,technological implant,563.0,277.0,210.0,150.0,neutral,1236,1.0, ,,1,2194
