id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30764,30797,30928,Dashed,1173,0,none,18:02:48,2131
30752,30763,30874,Solid-Strong,1173,0,none,18:02:16,2131
30746,30874,30896,Solid-Strong,1173,0,none,18:02:08,2131
30742,30763,30863,Solid-Weak,1173,0,none,18:01:45,2131
30730,30854,30863,Solid-Weak,1173,0,none,18:01:15,2131
30724,30854,30863,Solid-Weak,1173,0,none,18:01:05,2131
30719,30854,30863,Solid-Weak,1173,0,none,18:00:55,2131
30715,30854,30863,Solid-Weak,1173,0,none,18:00:45,2131
30709,30854,30863,Solid-Weak,1173,0,none,18:00:15,2131
30695,30763,30771,Solid-Strong,1173,0,none,17:59:25,2131
30694,30763,30771,Solid-Strong,1173,0,none,17:59:16,2131
30692,30771,30797,Solid-Weak,1173,0,none,17:59:09,2131
30683,30763,30928,Solid-Strong,1173,0,none,17:58:56,2131
30669,30763,30839,Solid-Strong,1173,0,none,17:58:25,2131
30663,30815,30839,Solid-Strong,1173,0,none,17:58:05,2131
30660,30815,30944,Solid-Strong,1173,0,none,17:57:46,2131
