id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31548,31625,31612,Solid-Weak,1218,0,uni,21:20:04,2176
31549,31623,31612,Solid-Weak,1218,0,uni,21:19:52,2176
31547,31615,31612,Solid-Weak,1218,0,uni,21:19:43,2176
31539,31608,31606,Solid-Weak,1218,0,uni,21:17:40,2176
31538,31607,31606,Solid-Weak,1218,0,uni,21:17:32,2176
31535,31605,31604,Solid-Weak,1218,0,uni,21:17:09,2176
31552,31602,31626,Solid-Weak,1218,0,none,21:15:59,2176
31551,31602,31621,Solid-Weak,1218,0,none,21:15:56,2176
31546,31602,31612,Solid-Weak,1218,0,none,21:14:19,2176
31545,31609,31611,Solid-Weak,1218,0,uni,21:18:44,2176
31544,31617,31620,Solid-Weak,1218,0,none,21:09:59,2176
31543,31617,31619,Solid-Weak,1218,0,none,21:09:52,2176
31542,31602,31617,Solid-Weak,1218,0,none,21:09:39,2176
31541,31609,31610,Solid-Weak,1218,0,uni,21:18:15,2176
31540,31602,31609,Solid-Weak,1218,0,none,21:08:43,2176
31537,31602,31606,Solid-Weak,1218,0,none,21:06:35,2176
31536,31602,31604,Solid-Weak,1218,0,none,21:05:45,2176
